Repository TestCases(RAW) KLoC(RAW)
https://github.com/ti8m/react-native-ibeacon-android 148 38.22
https://github.com/Netcentric/accesscontroltool 118 13.89
https://github.com/yandex-qatools/matchers-java 111 2.19
https://github.com/grundid/nfctools 116 8.04
https://github.com/GojaFramework/goja 139 11.99
https://github.com/alibaba/nacos 1561 12.73
https://github.com/officefloor/OfficeFloor 1162 122.46
https://github.com/SDA-SE/sda-dropwizard-commons 1106 44.77
https://github.com/julianhyde/optiq 1421 93.94
https://github.com/ff4j/ff4j 1103 14.76
https://github.com/bhdrkn/Java-Examples 38 5.41
https://github.com/lukas-krecan/mock-socket 34 1.091
https://github.com/ocadaruma/pfutil 34 1.33
https://github.com/starlightknight/swagger-confluence 49 1.9
https://github.com/armueller/FluxyAndroidTodo 36 1.73
https://github.com/tempofeng/lambda-local 37 2.99
https://github.com/appNG/appng 909 29.13
https://github.com/StumbleUponArchive/hbase 1032 98.09
https://github.com/Nike-Inc/wingtips 968 9.74
https://github.com/searchisko/searchisko 816 31.2
https://github.com/project-sunbird/sunbird-lms-service 984 41.62
