benchmark,basic-only-intraproc (s),stddev,CI-intraproc (s),stddev,CIPP-intraproc (s),stddev,1-object-sens-intraproc (s),stddev,basic-only-interproc (s),stddev,CI-interproc (s),stddev,CIPP-interproc (s),stddev,1-object-sens-interproc (s),stddev
bootique,21.2622,1.7252,19.9262,1.8543,19.5066,1.7403,N/A,N/A,26.4354,1.7282,24.8976,0.6917,25.4992,1.689,N/A,N/A
commons-collections4,15.3868,1.388,14.1988,1.3571,14.4779,0.9716,13.389,1.0837,17.7987,1.424,16.6437,1.0578,16.8178,0.792,15.6146,1.595
flink-core,29.8686,2.2869,27.2052,3.3438,27.7817,4.5403,21.1715,0.486,68.2585,1.9783,62.1225,3.9866,63.9409,5.6385,54.1053,0.3201
jsonschema2pojo,31.7246,1.4357,29.3279,2.3252,30.7203,3.5204,29.3453,3.6939,39.7645,2.3264,41.0484,2.8956,35.3653,1.9621,37.2899,4.5524
maven-core,20.4005,0.9683,19.4908,1.7984,16.0885,1.6083,15.7169,1.0893,26.412,1.6047,23.4187,1.9757,22.1553,1.8152,19.6182,1.7497
microbenchmark,13.1999,0.7592,11.729,0.7322,11.6105,0.5862,12.2276,1.148,13.7641,1.0326,12.9192,0.9476,13.0155,1.1839,12.2988,1.5261
mybatis,83.2945,5.5664,59.8329,4.0663,59.7556,0.5937,N/A,N/A,113.3817,4.5729,192.161,23.3635,181.9194,4.0075,N/A,N/A
quartz-core,21.9468,2.2774,21.0579,2.0824,18.882,2.8425,17.2204,1.9094,23.4928,2.4233,21.9184,1.8406,21.9726,1.7784,19.8037,2.7528
vraptor,49.27,2.5855,34.9573,0.7945,36.4874,1.8155,N/A,N/A,70.9163,2.8494,149.3771,5.7287,148.3501,2.615,N/A,N/A
Average,31.8171,2.507,26.414,2.2886,26.1456,2.3953,N/A,N/A,44.4693,2.4241,60.5007,8.2512,58.7818,2.7865,N/A,N/A
