<io.bootique.ConfigModule: java.lang.Object config(java.lang.Class,io.bootique.config.ConfigurationFactory)>/io.bootique.config.ConfigurationFactory.config/0	<io.bootique.config.ConfigurationFactory: java.lang.Object config(java.lang.Class,java.lang.String)>	<io.bootique.ConfigModule: java.lang.Object config(java.lang.Class,io.bootique.config.ConfigurationFactory)>	74	<io.bootique.ConfigModule: java.lang.Object config(java.lang.Class,io.bootique.config.ConfigurationFactory)>/configurationFactory#_0
<io.bootique.log.DefaultBootLoggerTest: void testStdout()>/java.io.PrintStream.println/0	<java.io.PrintStream: void println(java.lang.String)>	<io.bootique.log.DefaultBootLoggerTest: void testStdout()>	46	<io.bootique.log.DefaultBootLoggerTest: void testStdout()>/$stack7
<io.bootique.log.DefaultBootLoggerTest: void testStderr()>/java.io.PrintStream.println/0	<java.io.PrintStream: void println(java.lang.String)>	<io.bootique.log.DefaultBootLoggerTest: void testStderr()>	56	<io.bootique.log.DefaultBootLoggerTest: void testStderr()>/$stack7
<io.bootique.log.DefaultBootLoggerTest: void testTrace()>/java.io.PrintStream.println/0	<java.io.PrintStream: void println(java.lang.String)>	<io.bootique.log.DefaultBootLoggerTest: void testTrace()>	66	<io.bootique.log.DefaultBootLoggerTest: void testTrace()>/$stack8
<io.bootique.run.DefaultRunner: io.bootique.command.Command prepareForExecution(io.bootique.command.Command)>/io.bootique.command.ExecutionPlanBuilder.prepareForExecution/0	<io.bootique.command.ExecutionPlanBuilder: io.bootique.command.Command prepareForExecution(io.bootique.command.Command)>	<io.bootique.run.DefaultRunner: io.bootique.command.Command prepareForExecution(io.bootique.command.Command)>	51	<io.bootique.run.DefaultRunner: io.bootique.command.Command prepareForExecution(io.bootique.command.Command)>/$stack2
<io.bootique.command.CommandDecoratorIT: void testAlsoRun_Instance()>/io.bootique.command.Command.run/0	<io.bootique.command.Command: io.bootique.command.CommandOutcome run(io.bootique.cli.Cli)>	<io.bootique.command.CommandDecoratorIT: void testAlsoRun_Instance()>	67	<io.bootique.command.CommandDecoratorIT: void testAlsoRun_Instance()>/cmd#_66
<io.bootique.command.CommandDecoratorIT: void testAlsoRun_Instance()>/io.bootique.command.Command.run/1	<io.bootique.command.Command: io.bootique.command.CommandOutcome run(io.bootique.cli.Cli)>	<io.bootique.command.CommandDecoratorIT: void testAlsoRun_Instance()>	72	<io.bootique.command.CommandDecoratorIT: void testAlsoRun_Instance()>/$stack14
<io.bootique.command.CommandDecoratorIT: void testBeforeRun_Instance()>/io.bootique.command.Command.run/0	<io.bootique.command.Command: io.bootique.command.CommandOutcome run(io.bootique.cli.Cli)>	<io.bootique.command.CommandDecoratorIT: void testBeforeRun_Instance()>	119	<io.bootique.command.CommandDecoratorIT: void testBeforeRun_Instance()>/cmd#_118
<io.bootique.command.CommandDecoratorIT: void testBeforeRun_Instance()>/io.bootique.command.Command.run/1	<io.bootique.command.Command: io.bootique.command.CommandOutcome run(io.bootique.cli.Cli)>	<io.bootique.command.CommandDecoratorIT: void testBeforeRun_Instance()>	124	<io.bootique.command.CommandDecoratorIT: void testBeforeRun_Instance()>/$stack13
<io.bootique.command.CommandDecoratorIT: void testBeforeAndAlsoRun()>/io.bootique.command.Command.run/0	<io.bootique.command.Command: io.bootique.command.CommandOutcome run(io.bootique.cli.Cli)>	<io.bootique.command.CommandDecoratorIT: void testBeforeAndAlsoRun()>	163	<io.bootique.command.CommandDecoratorIT: void testBeforeAndAlsoRun()>/c1#_162
