[<<unique-context>>]	<java.security.AccessControlContext: void <init>(java.security.ProtectionDomain[])>/java.lang.Object.clone/0	[<java.lang.ClassLoader: void checkPackageAccess(java.lang.Class,java.security.ProtectionDomain)>/new java.security.ProtectionDomain[]/0]	<java.lang.Object: java.lang.Object clone()>
[<<unique-context>>]	<java.util.Arrays$ArrayList: java.lang.Object[] toArray()>/java.lang.Object.clone/0	[<java.lang.Throwable: void <clinit>()>/new java.lang.StackTraceElement[]/0]	<java.lang.Object: java.lang.Object clone()>
[<<unique-context>>]	<java.lang.Throwable: java.lang.StackTraceElement[] getStackTrace()>/java.lang.Object.clone/0	[<java.lang.Throwable: void <clinit>()>/new java.lang.StackTraceElement[]/0]	<java.lang.Object: java.lang.Object clone()>
[<<unique-context>>]	<java.util.Arrays: void legacyMergeSort(java.lang.Object[])>/java.lang.Object.clone/0	[<java.lang.Throwable: void <clinit>()>/new java.lang.StackTraceElement[]/0]	<java.lang.Object: java.lang.Object clone()>
[<<unique-context>>]	<java.util.Arrays: void legacyMergeSort(java.lang.Object[],java.util.Comparator)>/java.lang.Object.clone/0	[<java.lang.Throwable: void <clinit>()>/new java.lang.StackTraceElement[]/0]	<java.lang.Object: java.lang.Object clone()>
[<<unique-context>>]	<java.util.Arrays$ArrayList: java.lang.Object[] toArray()>/java.lang.Object.clone/0	[<java.lang.Throwable: java.lang.StackTraceElement[] getOurStackTrace()>/new java.lang.StackTraceElement[]/0]	<java.lang.Object: java.lang.Object clone()>
[<<unique-context>>]	<java.lang.Throwable: java.lang.StackTraceElement[] getStackTrace()>/java.lang.Object.clone/0	[<java.lang.Throwable: java.lang.StackTraceElement[] getOurStackTrace()>/new java.lang.StackTraceElement[]/0]	<java.lang.Object: java.lang.Object clone()>
[<<unique-context>>]	<java.util.Arrays: void legacyMergeSort(java.lang.Object[])>/java.lang.Object.clone/0	[<java.lang.Throwable: java.lang.StackTraceElement[] getOurStackTrace()>/new java.lang.StackTraceElement[]/0]	<java.lang.Object: java.lang.Object clone()>
[<<unique-context>>]	<java.util.Arrays: void legacyMergeSort(java.lang.Object[],java.util.Comparator)>/java.lang.Object.clone/0	[<java.lang.Throwable: java.lang.StackTraceElement[] getOurStackTrace()>/new java.lang.StackTraceElement[]/0]	<java.lang.Object: java.lang.Object clone()>
[<<unique-context>>]	<java.util.Arrays$ArrayList: java.lang.Object[] toArray()>/java.lang.Object.clone/0	[<ca.liang.PayRollArrayMockTest: void init()>/new ca.liang.Employee[]/0]	<java.lang.Object: java.lang.Object clone()>
[<<unique-context>>]	<java.util.Arrays: void legacyMergeSort(java.lang.Object[])>/java.lang.Object.clone/0	[<ca.liang.PayRollArrayMockTest: void init()>/new ca.liang.Employee[]/0]	<java.lang.Object: java.lang.Object clone()>
[<<unique-context>>]	<java.util.Arrays: void legacyMergeSort(java.lang.Object[],java.util.Comparator)>/java.lang.Object.clone/0	[<ca.liang.PayRollArrayMockTest: void init()>/new ca.liang.Employee[]/0]	<java.lang.Object: java.lang.Object clone()>
[<<unique-context>>]	<java.util.Arrays$ArrayList: java.lang.Object[] toArray()>/java.lang.Object.clone/0	[<ca.liang.PayRollArrayMockTest: void testEmployeesPaidIntra()>/new ca.liang.Employee[]/0]	<java.lang.Object: java.lang.Object clone()>
