<io.bootique.run.DefaultRunner: io.bootique.command.CommandOutcome run()>/$stack2
<io.bootique.command.CommandDecorator: io.bootique.command.CommandDecorator beforeRun(io.bootique.command.Command)>/command#_0
<io.bootique.command.CommandDecorator: io.bootique.command.CommandDecorator alsoRun(io.bootique.command.Command)>/command#_0
<io.bootique.command.CommandDecorator$Builder: io.bootique.command.CommandDecorator$Builder beforeRun(io.bootique.command.Command)>/command#_0
<io.bootique.command.CommandDecorator$Builder: io.bootique.command.CommandDecorator$Builder alsoRun(io.bootique.command.Command)>/command#_0
<io.bootique.help.config.ConfigSectionGenerator: void <init>(io.bootique.help.ConsoleAppender,java.util.Set)>/out#_0
<io.bootique.shutdown.DefaultShutdownManagerTest: void testShutdownOne()>/$stack4
<io.bootique.shutdown.DefaultShutdownManagerTest: void testShutdownAll()>/$stack7
<io.bootique.shutdown.DefaultShutdownManagerTest: void testShutdownAll()>/$stack10
<io.bootique.command.CommandRefWithArgs$NoArgsBuilder: void <init>(io.bootique.command.Command)>/command#_0
<io.bootique.command.ManagedCommand$Builder: void <init>(io.bootique.command.Command)>/command#_0
<org.mockito.internal.stubbing.StubberImpl: java.lang.Object when(java.lang.Object)>/mock#_0
<io.bootique.BQModuleMetadata$Builder: void <init>(io.bootique.di.BQModule)>/module#_0
<org.mockito.internal.MockitoCore: java.lang.Object verify(java.lang.Object,org.mockito.verification.VerificationMode)>/mock#_0
<org.mockito.internal.MockitoCore: void assertNotStubOnlyMock(java.lang.Object)>/mock#_0
<io.bootique.BQModuleProvider: io.bootique.BQModuleMetadata$Builder moduleBuilder()>/$stack1
<io.bootique.shutdown.DefaultShutdownManagerIT: void testShutdown()>/$stack8
<io.bootique.shutdown.DefaultShutdownManagerIT: void testShutdown()>/$stack11
<io.bootique.shutdown.DefaultShutdownManagerIT: void testShutdown_Unresponsive_Timeout()>/$stack11
<io.bootique.shutdown.DefaultShutdownManagerIT: void testShutdown_Unresponsive_Timeout()>/$stack18
<io.bootique.command.CommandDecoratorIT: void testAlsoRun_Instance()>/cmd#_66
<io.bootique.command.CommandDecoratorIT: void testBeforeRun_Instance()>/cmd#_118
<io.bootique.command.CommandDecoratorIT: void testBeforeAndAlsoRun()>/c1#_162
<io.bootique.command.CommandDecoratorIT: void testBeforeAndAlsoRun()>/c2#_165
<io.bootique.command.CommandDecoratorIT: void testBeforeAndAlsoRun()>/c3#_168
<io.bootique.command.CommandDecoratorIT: void testBeforeAndAlsoRun()>/c4#_171
