<org.apache.maven.toolchain.DefaultToolchainTest: void testMissingRequirementProperty()>/$stack8
<org.apache.maven.toolchain.DefaultToolchainTest: void testNonMatchingRequirementProperty()>/$stack10
<org.apache.maven.toolchain.DefaultToolchainManagerTest: void testModelNoFactory()>/$stack22
<org.apache.maven.toolchain.DefaultToolchainManagerPrivateTest: void testToolchainsForAvailableType()>/$stack25
<org.apache.maven.toolchain.DefaultToolchainManagerPrivateTest: void testToolchainsForUnknownType()>/$stack24
<org.apache.maven.toolchain.DefaultToolchainManagerPrivateTest: void testToolchainsForConfiguredType()>/$stack29
<org.apache.maven.artifact.resolver.filter.ExclusionArtifactFilter: boolean include(org.apache.maven.artifact.Artifact)>/@parameter0
<org.junit.Assert: void assertEquals(java.lang.Object,java.lang.Object)>/@parameter0
<org.apache.maven.toolchain.DefaultToolchainManager: java.util.List getToolchains(org.apache.maven.execution.MavenSession,java.lang.String,java.util.Map)>/@parameter0
<org.apache.maven.toolchain.DefaultToolchainTest$1: void <init>(org.apache.maven.toolchain.DefaultToolchainTest,org.apache.maven.toolchain.model.ToolchainModel,org.codehaus.plexus.logging.Logger)>/@parameter2
<org.apache.maven.toolchain.DefaultToolchainTest$2: void <init>(org.apache.maven.toolchain.DefaultToolchainTest,org.apache.maven.toolchain.model.ToolchainModel,java.lang.String,org.codehaus.plexus.logging.Logger)>/@parameter3
<org.apache.maven.toolchain.DefaultToolchainManagerPrivate: org.apache.maven.toolchain.ToolchainPrivate[] getToolchainsForType(java.lang.String,org.apache.maven.execution.MavenSession)>/@parameter1
<org.mockito.Mockito: java.lang.Object verify(java.lang.Object)>/@parameter0
<org.mockito.Mockito: java.lang.Object verify(java.lang.Object,org.mockito.verification.VerificationMode)>/@parameter0
<org.mockito.BDDMockito$ThenImpl: java.lang.Object should()>/$stack2
<org.mockito.BDDMockito$ThenImpl: java.lang.Object should(org.mockito.verification.VerificationMode)>/$stack3
<org.mockito.internal.InOrderImpl: java.lang.Object verify(java.lang.Object)>/$stack3
<org.mockito.stubbing.OngoingStubbing: org.mockito.stubbing.OngoingStubbing thenReturn(java.lang.Object)>/@parameter0
