<br.com.caelum.vraptor.http.DefaultResourceTranslator: br.com.caelum.vraptor.resource.ResourceMethod translate(br.com.caelum.vraptor.core.RequestInfo)>/request#_48
<br.com.caelum.vraptor.ioc.pico.PicoComponentRegistry: br.com.caelum.vraptor.ioc.pico.PicoBasedContainer provideRequestContainer(br.com.caelum.vraptor.core.RequestInfo)>/$stack31
<br.com.caelum.vraptor.ioc.pico.PicoComponentRegistry: br.com.caelum.vraptor.ioc.pico.PicoBasedContainer provideRequestContainer(br.com.caelum.vraptor.core.RequestInfo)>/$stack33
<ognl.ASTAnd: java.lang.String toGetSourceString(ognl.OgnlContext,java.lang.Object)>/$stack11
<org.springframework.web.context.support.WebApplicationContextUtils$WebRequestObjectFactory: org.springframework.web.context.request.WebRequest getObject()>/$stack3
<org.springframework.web.context.request.RequestContextListener: void requestInitialized(javax.servlet.ServletRequestEvent)>/$stack12
<br.com.caelum.vraptor.ioc.spring.SpringProvider: java.lang.Object provideForRequest(br.com.caelum.vraptor.core.RequestInfo,br.com.caelum.vraptor.core.Execution)>/context#_54
<br.com.caelum.vraptor.scan.WebAppBootstrapFactory: br.com.caelum.vraptor.scan.WebAppBootstrap scannerFor(br.com.caelum.vraptor.config.BasicConfiguration)>/$stack7
<ognl.NumericExpression: java.lang.String coerceToNumeric(java.lang.String,ognl.OgnlContext,ognl.Node)>/$stack63
<br.com.caelum.vraptor.view.DefaultLogicResult$1: java.lang.Object intercept(java.lang.Object,java.lang.reflect.Method,java.lang.Object[],br.com.caelum.vraptor.proxy.SuperMethod)>/$stack41
<br.com.caelum.vraptor.core.JstlLocalization: java.lang.Object findByKey(java.lang.String)>/$stack4
<br.com.caelum.vraptor.core.JstlLocalization: java.lang.Object findByKey(java.lang.String)>/$stack11
<ognl.ASTChain: java.lang.String toGetSourceString(ognl.OgnlContext,java.lang.Object)>/$stack109
<br.com.caelum.vraptor.scan.JavassistBootstrapGeneratorTest$1: java.lang.Void call()>/$stack29
<br.com.caelum.vraptor.scan.JavassistBootstrapGeneratorTest$1: java.lang.Void call()>/$stack31
<br.com.caelum.vraptor.scan.JavassistBootstrapGeneratorTest$1: java.lang.Void call()>/$stack35
<br.com.caelum.vraptor.http.ognl.ListNullHandlerTest: void shouldNotSupportNonGenericLists()>/$stack11
<br.com.caelum.vraptor.http.ognl.ListNullHandlerTest: void shouldInsertItemsUntilTheRequiredPosition()>/$stack11
<br.com.caelum.vraptor.VRaptorTest$DoNothingProvider$1: java.lang.Object instanceFor(java.lang.Class)>/$stack3
<ognl.ASTEval: java.lang.Object getValueBody(ognl.OgnlContext,java.lang.Object)>/previousRoot#_55
<ognl.ASTEval: void setValueBody(ognl.OgnlContext,java.lang.Object,java.lang.Object)>/previousRoot#_72
<ognl.ListPropertyAccessor: java.lang.String getSourceAccessor(ognl.OgnlContext,java.lang.Object,java.lang.Object)>/$stack77
<ognl.ListPropertyAccessor: java.lang.String getSourceSetter(ognl.OgnlContext,java.lang.Object,java.lang.Object)>/$stack74
<br.com.caelum.vraptor.http.ognl.ListAccessor: void setProperty(java.util.Map,java.lang.Object,java.lang.Object,java.lang.Object)>/genericType#_79
<br.com.caelum.vraptor.http.ognl.ListAccessor: void setProperty(java.util.Map,java.lang.Object,java.lang.Object,java.lang.Object)>/type#_81
<br.com.caelum.vraptor.http.ognl.ListAccessor: java.lang.reflect.Type extractGenericType(ognl.OgnlContext,java.lang.Object)>/origin#_116
<ognl.ASTMethod: java.lang.String toGetSourceString(ognl.OgnlContext,java.lang.Object)>/$stack60
<ognl.ASTProperty: java.lang.String toGetSourceString(ognl.OgnlContext,java.lang.Object)>/$stack263
<ognl.ASTProperty: java.lang.String toGetSourceString(ognl.OgnlContext,java.lang.Object)>/currObj#_215
<ognl.ASTProperty: java.lang.String toGetSourceString(ognl.OgnlContext,java.lang.Object)>/$stack225
<ognl.ASTProperty: java.lang.String toGetSourceString(ognl.OgnlContext,java.lang.Object)>/$stack63
<ognl.ASTProperty: java.lang.String toGetSourceString(ognl.OgnlContext,java.lang.Object)>/currObj_$$A_1#_337
<ognl.ASTMethod: java.lang.String toSetSourceString(ognl.OgnlContext,java.lang.Object)>/$stack49
<ognl.ASTProperty: java.lang.String toSetSourceString(ognl.OgnlContext,java.lang.Object)>/$stack271
<ognl.ASTProperty: java.lang.String toSetSourceString(ognl.OgnlContext,java.lang.Object)>/lastChild#24#_462
<ognl.ASTProperty: java.lang.String toSetSourceString(ognl.OgnlContext,java.lang.Object)>/$stack216
<ognl.ASTProperty: java.lang.String toSetSourceString(ognl.OgnlContext,java.lang.Object)>/$stack64
<ognl.ASTProperty: java.lang.String toSetSourceString(ognl.OgnlContext,java.lang.Object)>/lastChild#24_$$A_1#_593
<ognl.ASTVarRef: java.lang.String toGetSourceString(ognl.OgnlContext,java.lang.Object)>/value#_104
<br.com.caelum.vraptor.http.ognl.ArrayAccessor: void setProperty(java.util.Map,java.lang.Object,java.lang.Object,java.lang.Object)>/origin#_60
<br.com.caelum.vraptor.http.ognl.ListAccessorTest: void setup()>/$stack3
<br.com.caelum.vraptor.http.ognl.ListAccessorTest: void setup()>/$stack8
<br.com.caelum.vraptor.restfulie.controller.ResourceControllerInterceptor: java.util.EnumSet allowedMethods()>/$stack7
<br.com.caelum.vraptor.resource.DefaultResourceNotFoundHandler: void couldntFind(br.com.caelum.vraptor.core.RequestInfo)>/$stack5
<br.com.caelum.vraptor.view.DefaultPageResult$1: java.lang.Object intercept(java.lang.Object,java.lang.reflect.Method,java.lang.Object[],br.com.caelum.vraptor.proxy.SuperMethod)>/$stack15
<br.com.caelum.vraptor.http.ognl.ListNullHandler: java.lang.reflect.Type getListType(java.lang.Object,ognl.Evaluation,ognl.OgnlContext)>/listHolder#_68
<br.com.caelum.vraptor.http.ognl.ArrayAccessorTest: void setup()>/$stack17
<br.com.caelum.vraptor.http.ognl.ArrayAccessorTest: void setup()>/$stack21
<br.com.caelum.vraptor.http.ognl.ArrayAccessorTest: void setup()>/$stack44
<br.com.caelum.vraptor.http.ognl.ArrayAccessorTest: void setup()>/$stack49
<br.com.caelum.vraptor.http.ognl.ArrayAccessorTest: void settingShouldNullifyUpToIndexAndIgnoreRemoval()>/$stack3
<ognl.ObjectPropertyAccessor: java.lang.String getSourceSetter(ognl.OgnlContext,java.lang.Object,java.lang.Object)>/$stack16
<ognl.OgnlRuntime: java.lang.reflect.Method getMethod(ognl.OgnlContext,java.lang.Class,java.lang.String,ognl.Node[],boolean)>/$stack69
<ognl.enhance.ExpressionCompiler: java.lang.Class getRootExpressionClass(ognl.Node,ognl.OgnlContext)>/$stack9
<br.com.caelum.vraptor.http.ognl.OgnlFacade: void setValue(java.lang.String,java.lang.String,java.lang.String[])>/$stack11
<br.com.caelum.vraptor.http.ognl.OgnlFacade: java.lang.Object get(java.lang.String)>/root#_124
<ognl.enhance.ExpressionCompiler: ognl.enhance.EnhancedClassLoader getClassLoader(ognl.OgnlContext)>/$stack5
<ognl.enhance.ExpressionCompiler: ognl.enhance.EnhancedClassLoader getClassLoader(ognl.OgnlContext)>/$stack13
<ognl.ASTAnd: java.lang.String toSetSourceString(ognl.OgnlContext,java.lang.Object)>/$stack17
<ognl.ASTAnd: java.lang.String toSetSourceString(ognl.OgnlContext,java.lang.Object)>/$stack32
<br.com.caelum.vraptor.ioc.spring.SpringProvider: java.lang.Object provideForRequest(br.com.caelum.vraptor.core.RequestInfo,br.com.caelum.vraptor.core.Execution)>/webRequest#_55
<br.com.caelum.vraptor.view.DefaultLogicResult$1: java.lang.Object intercept(java.lang.Object,java.lang.reflect.Method,java.lang.Object[],br.com.caelum.vraptor.proxy.SuperMethod)>/$stack43
<ognl.ASTAdd: java.lang.String toGetSourceString(ognl.OgnlContext,java.lang.Object)>/cast#_136
<ognl.ASTAdd: java.lang.String toGetSourceString(ognl.OgnlContext,java.lang.Object)>/$stack359
