<java.security.Policy: java.security.Policy getPolicyNoCheck()>/l3_$$A_2#_180
<sun.security.util.PolicyUtil: java.security.KeyStore getKeyStore(java.net.URL,java.lang.String,java.lang.String,java.lang.String,java.lang.String,sun.security.util.Debug)>/l2_$$A_2#_90
<org.picocontainer.injectors.SetterInjector: java.lang.Object injectIntoMember(java.lang.reflect.AccessibleObject,java.lang.Object,java.lang.Object)>/$stack4
<br.com.caelum.vraptor.http.route.DefaultRouter: void checkIfThereIsAnotherRoute(java.lang.String,br.com.caelum.vraptor.resource.HttpMethod,java.util.Iterator,br.com.caelum.vraptor.http.route.Route)>/$stack12
<br.com.caelum.iogi.reflection.Target: java.lang.String toString()>/$stack1
<ognl.ASTMethod: java.lang.Object getValueBody(ognl.OgnlContext,java.lang.Object)>/args#_81
<br.com.caelum.vraptor.restfulie.LinkConverterJSONTest: void shouldSerializeOneLinkIfThereIsATransition()>/$stack14
<br.com.caelum.vraptor.restfulie.LinkConverterJSONTest: void shouldSerializeAllLinksIfThereAreTransitions()>/$stack22
<ognl.ASTMethod: java.lang.String toGetSourceString(ognl.OgnlContext,java.lang.Object)>/$stack18
<ognl.ASTStaticMethod: java.lang.Object getValueBody(ognl.OgnlContext,java.lang.Object)>/args#_70
<br.com.caelum.vraptor.http.ognl.ReflectionBasedNullHandlerTest: void shouldNotInstantiateIfLastTerm()>/$stack12
<br.com.caelum.vraptor.util.test.MockValidatorTest: void containsMessageShouldReturnTrueWhenExpectedMessageExists()>/$stack11
<br.com.caelum.vraptor.util.test.MockValidatorTest: void containsMessageShouldReturnTrueWhenExpectedMessageWithParamsExists()>/$stack13
<ognl.ASTStaticMethod: java.lang.String toGetSourceString(ognl.OgnlContext,java.lang.Object)>/$stack24
<ognl.OgnlRuntime: java.lang.reflect.Method getAppropriateMethod(ognl.OgnlContext,java.lang.Object,java.lang.Object,java.lang.String,java.util.List,java.lang.Object[],java.lang.Object[])>/actualArgs#_0
<ognl.OgnlRuntime: java.lang.Object getIndexedProperty(ognl.OgnlContext,java.lang.Object,java.lang.String,java.lang.Object)>/args#_2260
<java.lang.invoke.MethodType: java.lang.invoke.MethodType methodType(java.lang.Class,java.util.List)>/$stack3
<java.lang.invoke.MethodType: java.lang.invoke.MethodType insertParameterTypes(int,java.util.List)>/$stack3
<org.picocontainer.injectors.ConstructorInjector$1: java.lang.Object run(java.lang.Object)>/ctorParameters#_325
<java.lang.invoke.MethodType: java.lang.invoke.MethodType fromMethodDescriptorString(java.lang.String,java.lang.ClassLoader)>/l4#_1070
<br.com.caelum.vraptor.http.VRaptorRequest: java.lang.String toString()>/$stack1
<sun.misc.JarIndex: void <clinit>()>/$stack2
<sun.util.locale.provider.JRELocaleProviderAdapter: boolean isNonENLangSupported()>/$stack13
<org.springframework.beans.factory.xml.DefaultDocumentLoader: org.w3c.dom.Document loadDocument(org.xml.sax.InputSource,org.xml.sax.EntityResolver,org.xml.sax.ErrorHandler,int,boolean)>/factory#_70
<org.springframework.beans.factory.xml.DefaultDocumentLoader: javax.xml.parsers.DocumentBuilderFactory createDocumentBuilderFactory(int,boolean)>/factory#_89
<sun.reflect.ClassDefiner: java.lang.Class defineClass(java.lang.String,byte[],int,int,java.lang.ClassLoader)>/l5#_57
<br.com.caelum.vraptor.http.ognl.ArrayAccessorTest: void settingShouldNullifyUpToIndexAndIgnoreRemoval()>/$stack16
<sun.reflect.annotation.AnnotationParser: java.util.Map parseAnnotations2(byte[],sun.reflect.ConstantPool,java.lang.Class,java.lang.Class[])>/l8#_120
<sun.reflect.annotation.AnnotationParser: java.lang.Object parseMemberValue(java.lang.Class,java.nio.ByteBuffer,sun.reflect.ConstantPool,java.lang.Class)>/l4_$$A_3#_358
<java.util.Vector: void <init>(java.util.Collection)>/$stack8
<java.util.Vector: void trimToSize()>/$stack7
<java.util.Vector: void grow(int)>/$stack8
<java.util.Vector: java.lang.Object clone()>/$stack4
<java.util.Vector: java.lang.Object[] toArray()>/$stack2
<java.util.Vector: java.lang.Object[] toArray(java.lang.Object[])>/$stack10
