<com.google.common.collect.Collections2$FilteredCollection: com.google.common.collect.Collections2$FilteredCollection createCombined(com.google.common.base.Predicate)>/$stack3
<com.google.common.collect.Collections2$FilteredCollection: boolean isEmpty()>/$stack3
<com.google.common.collect.Collections2$FilteredCollection: java.util.Iterator iterator()>/$stack3
<com.google.common.collect.Collections2$FilteredCollection: boolean removeAll(java.util.Collection)>/$stack5
<com.google.common.collect.Collections2$FilteredCollection: boolean retainAll(java.util.Collection)>/$stack5
<org.springframework.expression.spel.ast.TypeReference: org.springframework.expression.TypedValue getValueInternal(org.springframework.expression.spel.ExpressionState)>/typename#_37
<com.google.common.collect.ByFunctionOrdering: boolean equals(java.lang.Object)>/$stack4
<com.google.common.collect.ByFunctionOrdering: boolean equals(java.lang.Object)>/$stack7
<com.google.common.collect.ByFunctionOrdering: java.lang.String toString()>/$stack2
<com.google.common.collect.ByFunctionOrdering: java.lang.String toString()>/$stack5
<org.springframework.context.support.AbstractApplicationContext$ApplicationListenerDetector: java.lang.Object postProcessAfterInitialization(java.lang.Object,java.lang.String)>/beanName#_0
<com.thoughtworks.xstream.converters.collections.ArrayConverter: void marshal(java.lang.Object,com.thoughtworks.xstream.io.HierarchicalStreamWriter,com.thoughtworks.xstream.converters.MarshallingContext)>/source#_0
<ognl.ASTSelectFirst: java.lang.Object getValueBody(ognl.OgnlContext,java.lang.Object)>/source#_0
<ognl.ASTSelectFirst: java.lang.Object getValueBody(ognl.OgnlContext,java.lang.Object)>/$stack10
<ognl.ASTSelectFirst: java.lang.Object getValueBody(ognl.OgnlContext,java.lang.Object)>/next#_60
<ognl.ASTSelectFirst: java.lang.Object getValueBody(ognl.OgnlContext,java.lang.Object)>/$stack15
<ognl.ASTSelectFirst: java.lang.String toString()>/$stack4
<ognl.ASTGreaterEq: java.lang.Object getValueBody(ognl.OgnlContext,java.lang.Object)>/source#_0
<ognl.ASTGreaterEq: java.lang.Object getValueBody(ognl.OgnlContext,java.lang.Object)>/v1#_50
<ognl.ASTGreaterEq: java.lang.Object getValueBody(ognl.OgnlContext,java.lang.Object)>/v2#_51
<br.com.caelum.iogi.conversion.BigIntegerConverter: java.lang.Object convert(java.lang.String,br.com.caelum.iogi.reflection.Target)>/x0#_0
<br.com.caelum.iogi.conversion.BigIntegerConverter: java.lang.Object convert(java.lang.String,br.com.caelum.iogi.reflection.Target)>/x1#_0
<com.google.common.collect.SingletonImmutableSet: void <init>(java.lang.Object)>/element#_0
<com.google.common.collect.SingletonImmutableSet: com.google.common.collect.UnmodifiableIterator iterator()>/$stack1
<com.google.common.collect.AbstractMapBasedMultiset$MapBasedElementSet: boolean remove(java.lang.Object)>/$stack2
<org.springframework.expression.spel.standard.SpelExpressionParser: org.springframework.expression.spel.standard.SpelExpression doParseExpression(java.lang.String,org.springframework.expression.ParserContext)>/expressionString#_0
<org.springframework.expression.spel.standard.SpelExpressionParser: org.springframework.expression.Expression doParseExpression(java.lang.String,org.springframework.expression.ParserContext)>/l1#_0
<org.mockito.cglib.core.EmitUtils$16: void processCase(java.lang.Object,org.mockito.asm.Label)>/key#_0
<ognl.OgnlOps: int compareWithConversion(java.lang.Object,java.lang.Object)>/v1#_0
<ognl.OgnlOps: int compareWithConversion(java.lang.Object,java.lang.Object)>/v2#_0
<ognl.OgnlOps: int compareWithConversion(java.lang.Object,java.lang.Object)>/$stack52
<ognl.OgnlOps: int compareWithConversion(java.lang.Object,java.lang.Object)>/$stack48
<br.com.caelum.iogi.reflection.ClassConstructor: java.util.Collection notFulfilledBy(br.com.caelum.iogi.parameters.Parameters)>/parameterTarget#_61
<ognl.OgnlOps: boolean isEqual(java.lang.Object,java.lang.Object)>/object1#_0
<ognl.OgnlOps: boolean isEqual(java.lang.Object,java.lang.Object)>/object2#_0
<br.com.caelum.iogi.EmptyObjectsProvider: boolean canProvide(br.com.caelum.iogi.reflection.Target)>/target#_0
<br.com.caelum.iogi.EmptyObjectsProvider: boolean selfCanProvide(br.com.caelum.iogi.reflection.Target)>/targetType#_41
<br.com.caelum.iogi.EmptyObjectsProvider: java.lang.Object provide(br.com.caelum.iogi.reflection.Target)>/target#_0
<br.com.caelum.iogi.EmptyObjectsProvider: java.lang.Object provide(br.com.caelum.iogi.reflection.Target)>/$stack7
<ognl.OgnlOps: long longValue(java.lang.Object)>/value#_0
<ognl.OgnlOps: long longValue(java.lang.Object)>/$stack10
<br.com.caelum.vraptor.scan.ScannotationComponentScanner: java.util.Collection scan(br.com.caelum.vraptor.scan.ClasspathResolver)>/resolver#_0
<ognl.OgnlOps: double doubleValue(java.lang.Object)>/value#_0
<ognl.OgnlOps: double doubleValue(java.lang.Object)>/s#_240
<br.com.caelum.vraptor.restfulie.serialization.LinkConverterJSON: boolean canConvert(java.lang.Class)>/type#_0
<ognl.OgnlOps: java.math.BigInteger bigIntValue(java.lang.Object)>/value#_0
<br.com.caelum.vraptor.scan.ScannotationComponentScanner: void addBasePackagesStereotypes(java.util.Map,java.util.List,java.util.HashSet)>/stereotype#_134
<br.com.caelum.vraptor.scan.ScannotationComponentScanner: boolean packagesContains(java.util.List,java.lang.String)>/basePackage#_142
<ognl.OgnlOps: java.math.BigDecimal bigDecValue(java.lang.Object)>/value#_0
<ognl.OgnlOps: java.lang.String stringValue(java.lang.Object)>/value#_0
<br.com.caelum.vraptor.scan.ScannotationComponentScanner: void findComponentsFromBasePackages(java.util.Map,java.util.List,java.util.Set)>/clazz#_173
<org.springframework.core.GenericCollectionTypeResolver: java.lang.Class getCollectionType(java.lang.Class)>/collectionClass#_0
<org.springframework.core.GenericCollectionTypeResolver: java.lang.Class getMapKeyType(java.lang.Class)>/mapClass#_0
<org.springframework.core.GenericCollectionTypeResolver: java.lang.Class getMapValueType(java.lang.Class)>/mapClass#_0
<org.springframework.core.GenericCollectionTypeResolver: java.lang.Class getCollectionReturnType(java.lang.reflect.Method,int)>/method#_0
<org.springframework.core.GenericCollectionTypeResolver: java.lang.Class getMapKeyReturnType(java.lang.reflect.Method,int)>/method#_0
<org.springframework.core.GenericCollectionTypeResolver: java.lang.Class getMapValueReturnType(java.lang.reflect.Method,int)>/method#_0
<org.springframework.core.GenericCollectionTypeResolver: java.lang.Class extractType(org.springframework.core.MethodParameter,java.lang.reflect.Type,java.lang.Class,int,int,int)>/$stack13
<org.springframework.core.GenericCollectionTypeResolver: java.lang.Class extractType(org.springframework.core.MethodParameter,java.lang.reflect.Type,java.lang.Class,int,int,int)>/$stack11
<ognl.ASTDivide: java.lang.Object getValueBody(ognl.OgnlContext,java.lang.Object)>/source#_0
<ognl.ASTDivide: java.lang.Object getValueBody(ognl.OgnlContext,java.lang.Object)>/v1#_49
<ognl.ASTDivide: java.lang.Object getValueBody(ognl.OgnlContext,java.lang.Object)>/v2#_50
<ognl.OgnlOps: java.lang.Object convertValue(java.lang.Object,java.lang.Class)>/value#_0
