Test-related Method	Total # Nodes Reachable From Method	# Nodes Reachable From Mock Invocations
org.apache.commons.collections4.SetUtilsTest::difference()V	55	2
org.apache.commons.collections4.SetUtilsTest::disjunction()V	55	0
org.apache.commons.collections4.SetUtilsTest::intersection()V	54	0
org.apache.commons.collections4.SetUtilsTest::setUp()V	3	0
org.apache.commons.collections4.SetUtilsTest::testEmptyIfNull()V	34	0
org.apache.commons.collections4.SetUtilsTest::testEquals()V	40	0
org.apache.commons.collections4.SetUtilsTest::testHashCode()V	44	0
org.apache.commons.collections4.SetUtilsTest::testHashSet()V	43	0
org.apache.commons.collections4.SetUtilsTest::testNewIdentityHashSet()V	40	0
org.apache.commons.collections4.SetUtilsTest::testpredicatedSet()V	5	0
org.apache.commons.collections4.SetUtilsTest::testUnmodifiableSet()V	43	0
org.apache.commons.collections4.SetUtilsTest::testUnmodifiableSetWrap()V	35	0
org.apache.commons.collections4.SetUtilsTest::union()V	54	0
org.apache.commons.collections4.BagUtilsTest::testSynchronizedBag()V	5	0
org.apache.commons.collections4.BagUtilsTest::testUnmodifiableBag()V	31	0
org.apache.commons.collections4.BagUtilsTest::testPredicatedBag()V	5	0
org.apache.commons.collections4.BagUtilsTest::testTransformedBag()V	5	0
org.apache.commons.collections4.BagUtilsTest::testSynchronizedSortedBag()V	5	0
org.apache.commons.collections4.BagUtilsTest::testUnmodifiableSortedBag()V	31	0
org.apache.commons.collections4.BagUtilsTest::testPredicatedSortedBag()V	5	0
org.apache.commons.collections4.BagUtilsTest::testTransformedSortedBag()V	5	0
org.apache.commons.collections4.ComparatorUtilsTest::booleanComparator()V	7	0
org.apache.commons.collections4.ComparatorUtilsTest::chainedComparator()V	36	0
org.apache.commons.collections4.ComparatorUtilsTest::max()V	38	0
org.apache.commons.collections4.ComparatorUtilsTest::min()V	38	0
org.apache.commons.collections4.ComparatorUtilsTest::nullLowComparator()V	7	0
org.apache.commons.collections4.ComparatorUtilsTest::nullHighComparator()V	7	0
org.apache.commons.collections4.SplitMapUtilsTest::setUp()V	13	0
org.apache.commons.collections4.SplitMapUtilsTest::testReadableMap()V	129	0
org.apache.commons.collections4.SplitMapUtilsTest::testAlreadyReadableMap()V	31	0
org.apache.commons.collections4.SplitMapUtilsTest::testWritableMap()V	55	0
org.apache.commons.collections4.SplitMapUtilsTest::testAlreadyWritableMap()V	30	0
org.apache.commons.collections4.MultiMapUtilsTest::testEmptyUnmodifiableMultiValuedMap()V	6	0
org.apache.commons.collections4.MultiMapUtilsTest::testTypeSafeEmptyMultiValuedMap()V	7	0
org.apache.commons.collections4.MultiMapUtilsTest::testEmptyIfNull()V	9	0
org.apache.commons.collections4.MultiMapUtilsTest::testIsEmptyWithEmptyMap()V	36	0
org.apache.commons.collections4.MultiMapUtilsTest::testIsEmptyWithNonEmptyMap()V	37	0
org.apache.commons.collections4.MultiMapUtilsTest::testIsEmptyWithNull()V	36	0
org.apache.commons.collections4.MultiMapUtilsTest::testGetCollection()V	10	0
org.apache.commons.collections4.MultiMapUtilsTest::testGetValuesAsList()V	13	3
org.apache.commons.collections4.MultiMapUtilsTest::testGetValuesAsSet()V	45	0
org.apache.commons.collections4.MultiMapUtilsTest::testGetValuesAsBag()V	45	0
org.apache.commons.collections4.AbstractLinkedListTest::testLinkedListAddFirst()V	5	0
org.apache.commons.collections4.AbstractLinkedListTest::testLinkedListAddLast()V	5	0
org.apache.commons.collections4.AbstractLinkedListTest::testLinkedListGetFirst()V	4	0
org.apache.commons.collections4.AbstractLinkedListTest::testLinkedListGetLast()V	4	0
org.apache.commons.collections4.AbstractLinkedListTest::testLinkedListRemoveFirst()V	5	0
org.apache.commons.collections4.AbstractLinkedListTest::testLinkedListRemoveLast()V	5	0
org.apache.commons.collections4.bidimap.AbstractBidiMapTest::testBidiPut()V	6	0
org.apache.commons.collections4.bidimap.AbstractBidiMapTest::testBidiGetKey()V	5	0
org.apache.commons.collections4.bidimap.AbstractBidiMapTest::testBidiGetKeyInverse()V	6	0
org.apache.commons.collections4.bidimap.AbstractBidiMapTest::testBidiInverse()V	5	0
