Test-related Method	Total # Nodes Reachable From Method	# Nodes Reachable From Mock Invocations
org.jsonschema2pojo.FragmentResolverTest::hashResolvesToRoot()V	77	0
org.jsonschema2pojo.FragmentResolverTest::slashDelimitedWordsResolveToChildNodes()V	77	0
org.jsonschema2pojo.FragmentResolverTest::pathCanReferToArrayContentsByIndex()V	84	0
org.jsonschema2pojo.FragmentResolverTest::pathCanReferToArrayContentsAtTheDocumentRoot()V	81	0
org.jsonschema2pojo.FragmentResolverTest::missingPathThrowsIllegalArgumentException()V	51	0
org.jsonschema2pojo.FragmentResolverTest::attemptToUsePropertyNameOnArrayNodeThrowsIllegalArgumentException()V	58	0
org.jsonschema2pojo.ContentResolverTest::wrongProtocolCausesIllegalArgumentException()V	1164	0
org.jsonschema2pojo.ContentResolverTest::fileLinkIsResolvedToContent()V	1263	1
org.jsonschema2pojo.ContentResolverTest::classpathLinkIsResolvedToContent()V	1176	8
org.jsonschema2pojo.util.MakeUniqueClassNameTest::testClassNameStrategy()V	703	0
org.jsonschema2pojo.util.NameHelperTest::testGetterNamedCorrectly()V	772	0
org.jsonschema2pojo.util.NameHelperTest::testSetterNamedCorrectly()V	746	0
org.jsonschema2pojo.util.NameHelperTest::testBuilderNamedCorrectly()V	746	0
org.jsonschema2pojo.util.NameHelperTest::testClassNameCorrectly()V	845	572
org.jsonschema2pojo.util.TypeUtilTest::testResolveTypeCanHandleWildcard()V	1220	4
org.jsonschema2pojo.util.TypeUtilTest::testResolveTypeCanHandleExtendsWildcard()V	1220	4
org.jsonschema2pojo.util.TypeUtilTest::testResolveTypeForSuperWildcardThrowsException()V	1192	0
org.jsonschema2pojo.util.InflectorTest::testSingularize()V	717	0
org.jsonschema2pojo.util.InflectorTest::testPluralize()V	717	0
org.jsonschema2pojo.util.LanguageFeaturesTest::correctTestForJava7()V	530	0
org.jsonschema2pojo.util.LanguageFeaturesTest::correctTestForJava8()V	530	0
org.jsonschema2pojo.AnnotatorFactoryTest::canCreateCorrectAnnotatorFromAnnotationStyle()V	37	0
org.jsonschema2pojo.AnnotatorFactoryTest::canCreateCorrectAnnotatorFromClass()V	418	0
org.jsonschema2pojo.AnnotatorFactoryTest::canCreateCompositeAnnotator()V	524	0
org.jsonschema2pojo.AnnotatorFactoryTest::attemptToCreateAnnotatorFromIncompatibleClassCausesIllegalArgumentException()V	447	0
org.jsonschema2pojo.SourceSortOrderTest::testTwoFilesAreCompared_FILES_FIRST()V	557	0
org.jsonschema2pojo.SourceSortOrderTest::twoDirectoriesAreCompared_FILES_FIRST()V	557	0
org.jsonschema2pojo.SourceSortOrderTest::testTwoFilesAreCompared_SUBDIRS_FIRST()V	557	0
org.jsonschema2pojo.SourceSortOrderTest::twoDirectoriesAreCompared_SUBDIRS_FIRST()V	557	0
org.jsonschema2pojo.SourceSortOrderTest::testTwoFilesAreCompared(Ljava/util/Comparator;)V	555	2
org.jsonschema2pojo.SourceSortOrderTest::testTwoDirectoriesAreCompared(Ljava/util/Comparator;)V	555	2
org.jsonschema2pojo.SourceSortOrderTest::filesBeforeDirectories_FILES_FIRST()V	573	4
org.jsonschema2pojo.SourceSortOrderTest::filesBeforeDirectories_SUBDIRS_FIRST()V	573	4
org.jsonschema2pojo.rules.MinimumMaximumRuleTest::setUp()V	30	0
org.jsonschema2pojo.rules.MinimumMaximumRuleTest::testMinimum()V	555	14
org.jsonschema2pojo.rules.MinimumMaximumRuleTest::testMaximum()V	555	14
org.jsonschema2pojo.rules.MinimumMaximumRuleTest::testMaximumAndMinimum()V	624	18
org.jsonschema2pojo.rules.MinimumMaximumRuleTest::testNotUsed()V	547	14
org.jsonschema2pojo.rules.MinimumMaximumRuleTest::jsrDisable()V	546	9
org.jsonschema2pojo.rules.RequiredArrayRuleTest::shouldUpdateJavaDoc()V	864	0
org.jsonschema2pojo.rules.RequiredArrayRuleTest::shouldUpdateAnnotations()V	973	3
org.jsonschema2pojo.rules.DescriptionRuleTest::applyAddsDescriptionToJavadoc()V	767	0
org.jsonschema2pojo.rules.CommentRuleTest::applyAddsCommentToJavadoc()V	767	0
org.jsonschema2pojo.rules.RuleFactoryImplTest::factoryMethodsCreateRules()V	52	9
org.jsonschema2pojo.rules.RuleFactoryImplTest::generationConfigIsReturned()V	525	2
org.jsonschema2pojo.rules.RuleFactoryImplTest::generationRuleLoggerIsReturned()V	524	1
org.jsonschema2pojo.rules.RuleFactoryImplTest::schemaStoreIsReturned()V	523	1
org.jsonschema2pojo.rules.RequiredRuleTest::applyAddsTextWhenRequired()V	267	0
org.jsonschema2pojo.rules.RequiredRuleTest::applySkipsTextWhenNotRequired()V	259	0
org.jsonschema2pojo.rules.FormatRulePrimitivesTest::usePrimitivesWithCustomTypeMapping()V	112	101
org.jsonschema2pojo.rules.FormatRuleTest::applyGeneratesTypeFromFormatValue()V	110	100
org.jsonschema2pojo.rules.FormatRuleTest::applyDefaultsToBaseType()V	109	99
org.jsonschema2pojo.rules.TitleRuleTest::applyAddsDescriptionToJavadoc()V	248	0
org.jsonschema2pojo.rules.FormatRuleJodaTest::setupConfig()V	71	3
