Test-related Method	Total # Nodes Reachable From Method	# Nodes Reachable From Mock Invocations
org.apache.maven.settings.SettingsUtilsTest::testShouldAppendRecessivePluginGroupIds()V	68	0
org.apache.maven.settings.SettingsUtilsTest::testRoundTripProfiles()V	186	0
org.apache.maven.settings.PomConstructionWithSettingsTest::setUp()V	449	0
org.apache.maven.settings.PomConstructionWithSettingsTest::tearDown()V	4	0
org.apache.maven.settings.PomConstructionWithSettingsTest::testSettingsNoPom()V	1002	0
org.apache.maven.settings.PomConstructionWithSettingsTest::testPomAndSettingsInterpolation()V	1002	0
org.apache.maven.settings.PomConstructionWithSettingsTest::testRepositories()V	1002	0
org.apache.maven.configuration.DefaultBeanConfiguratorTest::setUp()V	450	0
org.apache.maven.configuration.DefaultBeanConfiguratorTest::tearDown()V	4	0
org.apache.maven.configuration.DefaultBeanConfiguratorTest::testMinimal()V	66	0
org.apache.maven.configuration.DefaultBeanConfiguratorTest::testPreAndPostProcessing()V	73	0
org.apache.maven.configuration.DefaultBeanConfiguratorTest::testChildConfigurationElement()V	65	0
org.apache.maven.AbstractCoreMavenComponentTestCase::setUp()V	449	0
org.apache.maven.AbstractCoreMavenComponentTestCase::tearDown()V	4	0
org.apache.maven.ProjectDependenciesResolverTest::setUp()V	450	0
org.apache.maven.ProjectDependenciesResolverTest::tearDown()V	5	0
org.apache.maven.ProjectDependenciesResolverTest::testSystemScopeDependencies()V	668	0
org.apache.maven.ProjectDependenciesResolverTest::testSystemScopeDependencyIsPresentInTheCompileClasspathElements()V	785	0
org.apache.maven.DefaultMavenTest::testThatErrorDuringProjectDependencyGraphCreationAreStored()V	640	1
org.apache.maven.graph.DefaultProjectDependencyGraphTest::testGetSortedProjects()V	34	0
org.apache.maven.graph.DefaultProjectDependencyGraphTest::testVerifyExpectedParentStructure()V	35	0
org.apache.maven.graph.DefaultProjectDependencyGraphTest::testVerifyThatDownstreamProjectsComeInSortedOrder()V	35	0
org.apache.maven.graph.DefaultProjectDependencyGraphTest::testTransitivesInOrder()V	34	0
org.apache.maven.graph.DefaultProjectDependencyGraphTest::testNonTransitivesInOrder()V	34	0
org.apache.maven.graph.DefaultProjectDependencyGraphTest::testWithTransitiveOnly()V	34	0
org.apache.maven.graph.DefaultProjectDependencyGraphTest::testWithMissingTransitiveOnly()V	34	0
org.apache.maven.graph.DefaultProjectDependencyGraphTest::testGetUpstreamProjects()V	35	0
org.apache.maven.plugin.PluginParameterExpressionEvaluatorTest::setUp()V	450	0
org.apache.maven.plugin.PluginParameterExpressionEvaluatorTest::tearDown()V	5	0
org.apache.maven.plugin.PluginParameterExpressionEvaluatorTest::testPluginDescriptorExpressionReference()V	1050	0
org.apache.maven.plugin.PluginParameterExpressionEvaluatorTest::testPluginArtifactsExpressionReference()V	1066	0
org.apache.maven.plugin.PluginParameterExpressionEvaluatorTest::testPluginArtifactMapExpressionReference()V	1076	0
org.apache.maven.plugin.PluginParameterExpressionEvaluatorTest::testPluginArtifactIdExpressionReference()V	1051	0
org.apache.maven.plugin.PluginParameterExpressionEvaluatorTest::testValueExtractionWithAPomValueContainingAPath()V	475	3
org.apache.maven.plugin.PluginParameterExpressionEvaluatorTest::testEscapedVariablePassthrough()V	476	0
org.apache.maven.plugin.PluginParameterExpressionEvaluatorTest::testEscapedVariablePassthroughInLargerExpression()V	476	0
org.apache.maven.plugin.PluginParameterExpressionEvaluatorTest::testMultipleSubExpressionsInLargerExpression()V	477	0
org.apache.maven.plugin.PluginParameterExpressionEvaluatorTest::testMissingPOMPropertyRefInLargerExpression()V	475	0
org.apache.maven.plugin.PluginParameterExpressionEvaluatorTest::testPOMPropertyExtractionWithMissingProject_WithDotNotation()V	477	0
org.apache.maven.plugin.PluginParameterExpressionEvaluatorTest::testBasedirExtractionWithMissingProject()V	480	0
org.apache.maven.plugin.PluginParameterExpressionEvaluatorTest::testValueExtractionFromSystemPropertiesWithMissingProject()V	478	0
org.apache.maven.plugin.PluginParameterExpressionEvaluatorTest::testValueExtractionFromSystemPropertiesWithMissingProject_WithDotNotation()V	478	0
org.apache.maven.plugin.PluginParameterExpressionEvaluatorTest::testLocalRepositoryExtraction()V	474	0
org.apache.maven.plugin.PluginParameterExpressionEvaluatorTest::testShouldExtractPluginArtifacts()V	491	1
org.apache.maven.plugin.internal.DefaultLegacySupportTest::testSetSession()V	82	0
org.apache.maven.plugin.PluginParameterExceptionTest::testMissingRequiredStringArrayTypeParameter()V	59	0
org.apache.maven.plugin.PluginParameterExceptionTest::testMissingRequiredCollectionTypeParameter()V	59	0
org.apache.maven.plugin.PluginParameterExceptionTest::testMissingRequiredMapTypeParameter()V	59	0
org.apache.maven.plugin.PluginParameterExceptionTest::testMissingRequiredPropertiesTypeParameter()V	59	0
org.apache.maven.plugin.PluginManagerTest::setUp()V	450	0
org.apache.maven.plugin.PluginManagerTest::tearDown()V	5	0
org.apache.maven.plugin.PluginManagerTest::testPluginLoading()V	670	0
org.apache.maven.plugin.PluginManagerTest::testMojoDescriptorRetrieval()V	677	0
org.apache.maven.plugin.PluginManagerTest::testRemoteResourcesPlugin()V	1	0
org.apache.maven.plugin.PluginManagerTest::testSurefirePlugin()V	1	0
org.apache.maven.plugin.PluginManagerTest::testMojoConfigurationIsMergedCorrectly()V	1	0
org.apache.maven.plugin.PluginManagerTest::testMojoWhereInternallyStatedDependencyIsOverriddenByProject()V	1	0
org.apache.maven.plugin.PluginManagerTest::testMojoThatIsPresentInTheCurrentBuild()V	1	0
org.apache.maven.plugin.PluginManagerTest::testAggregatorMojo()V	1	0
org.apache.maven.plugin.PluginManagerTest::testMojoThatRequiresExecutionToAGivenPhaseBeforeExecutingItself()V	1	0
org.apache.maven.plugin.PluginManagerTest::testThatPluginDependencyThatHasSystemScopeIsResolved()V	774	4
org.apache.maven.plugin.PluginManagerTest::testPluginRealmCache()V	880	0
org.apache.maven.plugin.PluginManagerTest::testBuildExtensionsPluginLoading()V	777	0
org.apache.maven.lifecycle.mapping.LifecyclePhaseTest::testToString()V	44	0
org.apache.maven.lifecycle.mapping.LifecyclePhaseTest::testSet()V	76	0
org.apache.maven.lifecycle.LifecycleExecutorSubModulesTest::setUp()V	450	0
org.apache.maven.lifecycle.LifecycleExecutorSubModulesTest::tearDown()V	5	0
org.apache.maven.lifecycle.LifecycleExecutorSubModulesTest::testCreation()V	5	0
org.apache.maven.lifecycle.LifecycleExecutorTest::setUp()V	450	0
org.apache.maven.lifecycle.LifecycleExecutorTest::tearDown()V	5	0
org.apache.maven.lifecycle.LifecycleExecutorTest::testCalculationOfBuildPlanWithIndividualTaskWherePluginIsSpecifiedInThePom()V	822	8
org.apache.maven.lifecycle.LifecycleExecutorTest::testCalculationOfBuildPlanWithIndividualTaskOfTheCleanLifecycle()V	822	8
org.apache.maven.lifecycle.LifecycleExecutorTest::testCalculationOfBuildPlanWithIndividualTaskOfTheCleanCleanGoal()V	822	8
org.apache.maven.lifecycle.LifecycleExecutorTest::testCalculationOfBuildPlanTasksOfTheCleanLifecycleAndTheInstallLifecycle()V	819	8
org.apache.maven.lifecycle.LifecycleExecutorTest::testCalculationOfBuildPlanWithMultipleExecutionsOfModello()V	822	8
org.apache.maven.lifecycle.LifecycleExecutorTest::testLifecycleQueryingUsingADefaultLifecyclePhase()V	819	8
org.apache.maven.lifecycle.LifecycleExecutorTest::testLifecyclePluginsRetrievalForDefaultLifecycle()V	35	0
org.apache.maven.lifecycle.LifecycleExecutorTest::testPluginConfigurationCreation()V	798	0
org.apache.maven.lifecycle.LifecycleExecutorTest::testInvalidGoalName()V	804	0
org.apache.maven.lifecycle.LifecycleExecutorTest::testPluginPrefixRetrieval()V	781	0
org.apache.maven.lifecycle.LifecycleExecutorTest::testFindingPluginPrefixforCleanClean()V	781	0
org.apache.maven.lifecycle.LifecycleExecutorTest::testSetupMojoExecution()V	781	0
org.apache.maven.lifecycle.LifecycleExecutorTest::testExecutionListeners()V	1111	0
org.apache.maven.lifecycle.DefaultLifecyclesTest::setUp()V	450	0
org.apache.maven.lifecycle.DefaultLifecyclesTest::tearDown()V	4	0
org.apache.maven.lifecycle.DefaultLifecyclesTest::testLifecycle()V	65	0
org.apache.maven.lifecycle.internal.ProjectBuildListTest::testGetByTaskSegment()V	55	0
org.apache.maven.lifecycle.internal.PhaseRecorderTest::testObserveExecution()V	21	0
org.apache.maven.lifecycle.internal.LifecycleTaskSegmentCalculatorImplTest::testCalculateProjectBuilds()V	431	0
org.apache.maven.lifecycle.internal.LifecycleDependencyResolverTest::setUp()V	450	0
org.apache.maven.lifecycle.internal.LifecycleDependencyResolverTest::testCachedReactorProjectDependencies()V	1064	0
org.apache.maven.lifecycle.internal.ConcurrencyDependencyGraphTest::testConcurrencyGraphPrimaryVersion()V	49	0
org.apache.maven.lifecycle.internal.ConcurrencyDependencyGraphTest::testConcurrencyGraphDifferentCompletionOrder()V	45	0
org.apache.maven.lifecycle.internal.BuildListCalculatorTest::testCalculateProjectBuilds()V	431	0
org.apache.maven.lifecycle.internal.BuilderCommonTest::testResolveBuildPlan()V	111	0
org.apache.maven.lifecycle.internal.BuilderCommonTest::testHandleBuildError()V	1	0
org.apache.maven.lifecycle.internal.BuilderCommonTest::testAttachToThread()V	1	0
org.apache.maven.lifecycle.internal.BuilderCommonTest::testGetKey()V	1	0
org.apache.maven.lifecycle.internal.stub.ProjectDependencyGraphStubTest::testADependencies()V	39	0
org.apache.maven.lifecycle.internal.stub.ProjectDependencyGraphStubTest::testBDepenencies(Lorg/apache/maven/lifecycle/internal/stub/ProjectDependencyGraphStub;)V	42	0
org.apache.maven.lifecycle.internal.stub.ProjectDependencyGraphStubTest::testCDepenencies(Lorg/apache/maven/lifecycle/internal/stub/ProjectDependencyGraphStub;)V	42	0
org.apache.maven.lifecycle.internal.stub.ProjectDependencyGraphStubTest::testXDepenencies(Lorg/apache/maven/lifecycle/internal/stub/ProjectDependencyGraphStub;)V	42	0
org.apache.maven.lifecycle.internal.LifecycleExecutionPlanCalculatorTest::testCalculateExecutionPlanWithGoalTasks()V	57	0
org.apache.maven.lifecycle.internal.builder.multithreaded.ThreadOutputMuxerTest::testSingleThreaded()V	461	4
org.apache.maven.lifecycle.internal.builder.multithreaded.ThreadOutputMuxerTest::testMultiThreaded()V	442	1
org.apache.maven.lifecycle.internal.builder.multithreaded.ConcurrencyDependencyGraphTest::testGraph()V	75	0
org.apache.maven.lifecycle.MavenExecutionPlanTest::testFindLastInPhase()V	432	0
org.apache.maven.lifecycle.MavenExecutionPlanTest::testThreadSafeMojos()V	436	0
