Test-related Method	Total # Nodes Reachable From Method	# Nodes Reachable From Mock Invocations
ca.liang.PayRollAnnotationMockTest::init()V	494	1
ca.liang.PayRollAnnotationMockTest::testEmployeesPaidIntra()V	505	0
ca.liang.PayRollAnnotationMockTest::testSingleEmployee()V	51	0
ca.liang.PayRollAnnotationMockTest::testEmployeeIsPaid()V	444	7
ca.liang.PayRollAnnotationMockTest::testBankService()V	8	7
ca.liang.PayRollMultipleEmployeeTest::init()V	496	1
ca.liang.PayRollMultipleEmployeeTest::testAllEmployeesArePaid1()V	457	11
ca.liang.PayRollMultipleEmployeeTest::testAllEmployeesArePaid2()V	544	12
ca.liang.PayRollMockMarginalCollectionsTest::init()V	516	11
ca.liang.PayRollMockMarginalCollectionsTest::test0()V	35	1
ca.liang.PayRollMockMarginalCollectionsTest::test1()V	35	1
ca.liang.PayRollMockMarginalCollectionsTest::test2()V	35	1
ca.liang.PayRollMockMarginalCollectionsTest::test3()V	35	1
ca.liang.PayRollMockMarginalCollectionsTest::test4()V	35	1
ca.liang.PayRollMockMarginalCollectionsTest::test5()V	35	1
ca.liang.PayRollMockMarginalCollectionsTest::test6()V	35	1
ca.liang.PayRollMockMarginalCollectionsTest::testPQ1()V	35	1
ca.liang.PayRollMockMarginalCollectionsTest::testPQ2()V	40	1
ca.liang.PayRollMockMarginalCollectionsTest::testPQ3()V	36	1
ca.liang.PayRollMockMarginalCollectionsTest::testPQ4()V	36	1
ca.liang.PayRollMockMarginalCollectionsTest::testTS()V	36	1
ca.liang.PayRollMockMarginalCollectionsTest::testTS1()V	36	1
ca.liang.PayRollMockMarginalCollectionsTest::testDQ()V	43	9
ca.liang.PayRollMockMarginalCollectionsTest::testDescendingSet()V	37	1
ca.liang.PayRollMockMarginalCollectionsTest::testFloorCeiling()V	518	5
ca.liang.PayRollMockMarginalCollectionsTest::testHigherLower()V	510	4
ca.liang.PayRollMockMarginalCollectionsTest::testHeadSet()V	510	4
ca.liang.PayRollMockMarginalCollectionsTest::testTailSet()V	510	4
ca.liang.PayRollMockMarginalCollectionsTest::testSubSet()V	503	4
ca.liang.PayRollArrayNoMockTest::init()V	497	1
ca.liang.PayRollArrayNoMockTest::testNoEmployees()V	51	0
ca.liang.PayRollArrayNoMockTest::testSingleEmployeeLocalArrayNomock()V	34	1
ca.liang.PayRollMockTest::init()V	496	1
ca.liang.PayRollMockTest::testMerge()V	491	1
ca.liang.PayRollMockTest::testMerge2()V	491	1
ca.liang.PayRollMockTest::testMerge3()V	491	1
ca.liang.PayRollMockTest::testNoEmployees()V	51	0
ca.liang.PayRollMockTest::testNoEmployeesIntra()V	512	1
ca.liang.PayRollMockTest::testMockCallInsideLambda()V	488	0
ca.liang.PayRollMockTest::testAddAll()V	504	4
ca.liang.PayRollMockTest::testIteration()V	505	7
ca.liang.PayRollMockTest::testVector()V	510	3
ca.liang.PayRollMockTest::testVector2()V	516	5
ca.liang.PayRollMockTest::testVectorToArray()V	511	3
ca.liang.PayRollMockTest::testArrayToVector()V	510	2
ca.liang.PayRollMockTest::testSingleEmployee()V	426	0
ca.liang.PayRollMockTest::testTransitiveCall()V	497	0
ca.liang.PayRollMockTest::testSingleEmployeeMockInter()V	507	1
ca.liang.PayRollMockTest::testSingleEmployeeMockCallout()V	508	1
ca.liang.PayRollMockTest::testEmployeeIsPaid()V	445	7
ca.liang.PayRollMockTest::testEmployeeIsPaid_singleVerify()V	445	7
ca.liang.PayRollMockTest::testInteractionOrder()V	445	8
ca.liang.PayRollMultipleEmployee2Test::init()V	504	1
ca.liang.PayRollMultipleEmployee2Test::testAllEmployeesArePaid()V	457	11
ca.liang.PayRollArrayMockTest::init()V	497	1
ca.liang.PayRollArrayMockTest::testSingleEmployee()V	51	0
ca.liang.PayRollArrayMockTest::testEmployeesPaidIntra()V	505	0
ca.liang.PayRollArrayMockTest::testSingleEmployeeFieldArrayMock()V	52	2
ca.liang.PayRollArrayMockTest::testSingleEmployeeLocalArrayMock()V	503	2
ca.liang.PayRollArrayMockTest::testAllEmployeesArePaidArrayIntra()V	537	12
ca.liang.PayRollArrayMockTest::testAllEmployeesArePaidArrayInter()V	538	12
ca.liang.DirtyTest::init()V	497	1
ca.liang.DirtyTest::testSingleEmployeeFieldArrayNomock()V	34	1
