Test-related Method	Total # Nodes Reachable From Method	# Nodes Reachable From Mock Invocations
org.apache.ibatis.mapping.CacheBuilderTest::testInitializing()V	880	0
org.apache.ibatis.mapping.CacheBuilderTest::testInitializingFailure()V	825	0
org.apache.ibatis.mapping.BoundSqlTest::testHasAdditionalParameter()V	45	31
org.apache.ibatis.datasource.unpooled.NetworkTimeoutTest::testNetworkTimeout_UnpooledDataSource()V	878	4
org.apache.ibatis.datasource.unpooled.NetworkTimeoutTest::testNetworkTimeout_PooledDataSource()V	916	4
org.apache.ibatis.io.ResolverUtilTest::setUp()V	408	0
org.apache.ibatis.io.ResolverUtilTest::testToString()V	420	10
org.apache.ibatis.io.ExternalResourcesTest::setUp()V	428	0
org.apache.ibatis.io.ExternalResourcesTest::testcopyExternalResource()V	428	0
org.apache.ibatis.io.ExternalResourcesTest::testcopyExternalResource_fileNotFound()V	437	0
org.apache.ibatis.io.ExternalResourcesTest::testcopyExternalResource_emptyStringAsFile()V	437	0
org.apache.ibatis.io.ExternalResourcesTest::testGetConfiguredTemplate()V	878	2
org.apache.ibatis.submitted.param_name_resolve.NoActualParamNameTest::setUp()V	1994	12
org.apache.ibatis.submitted.param_name_resolve.NoActualParamNameTest::testSingleListParameterWhenUseActualParamNameIsFalse()V	47	3
org.apache.ibatis.submitted.param_name_resolve.ActualParamNameTest::setUp()V	1994	12
org.apache.ibatis.submitted.param_name_resolve.ActualParamNameTest::testSingleListParameterWhenUseActualParamNameIsTrue()V	43	3
org.apache.ibatis.submitted.param_name_resolve.ActualParamNameTest::testSingleArrayParameterWhenUseActualParamNameIsTrue()V	42	2
org.apache.ibatis.submitted.complex_column.ComplexColumnTest::testWithoutComplex()V	829	0
org.apache.ibatis.submitted.complex_column.ComplexColumnTest::testWithComplex()V	829	0
org.apache.ibatis.submitted.complex_column.ComplexColumnTest::testWithComplex2()V	829	0
org.apache.ibatis.submitted.complex_column.ComplexColumnTest::testWithComplex3()V	829	0
org.apache.ibatis.submitted.complex_column.ComplexColumnTest::testWithComplex4()V	830	0
org.apache.ibatis.submitted.complex_column.ComplexColumnTest::testWithParamAttributes()V	829	0
org.apache.ibatis.submitted.result_set_type.ResultSetTypeTest::setUp()V	1930	4
org.apache.ibatis.submitted.result_set_type.ResultSetTypeTest::testWithStatement()V	820	0
org.apache.ibatis.submitted.result_set_type.ResultSetTypeTest::testWithPrepared()V	820	0
org.apache.ibatis.submitted.result_set_type.ResultSetTypeTest::testWithCallable()V	820	0
org.apache.ibatis.submitted.result_set_type.ResultSetTypeTest::test(Ljava/util/function/Function;I)V	819	1
org.apache.ibatis.submitted.dml_return_types.DmlMapperReturnTypesTest::setUp()V	1926	4
org.apache.ibatis.submitted.javassist.JavassistTest::setUp()V	1926	4
org.apache.ibatis.submitted.missing_id_property.MissingIdPropertyTest::setUp()V	1926	4
org.apache.ibatis.submitted.foreach.ForEachTest::setUp()V	1926	4
org.apache.ibatis.submitted.array_result_type.ArrayResultTypeTest::setUp()V	1926	4
org.apache.ibatis.submitted.annotion_many_one_add_columnprefix.OneManyColumnPrefixTest::setUp()V	1926	4
org.apache.ibatis.submitted.extend.ExtendTest::setUp()V	1926	4
org.apache.ibatis.submitted.extend.ExtendTest::testExtend()V	821	0
org.apache.ibatis.submitted.uuid_test.UUIDTest::setUp()V	1926	4
org.apache.ibatis.submitted.timestamp_with_timezone.TimestampWithTimezoneTypeHandlerTest::setUp()V	1926	4
org.apache.ibatis.submitted.named_constructor_args.InvalidNamedConstructorArgsTest::setUp()V	1926	4
org.apache.ibatis.submitted.named_constructor_args.NamedConstructorArgsUseActualNameTest::setUp()V	1926	4
org.apache.ibatis.submitted.named_constructor_args.NamedConstructorArgsTest::setUp()V	1926	4
org.apache.ibatis.submitted.refcursor.RefCursorTest::setUp()V	1701	0
org.apache.ibatis.submitted.refcursor.RefCursorTest::testRefCursor1()V	824	6
org.apache.ibatis.submitted.refcursor.RefCursorTest::testRefCursor2()V	824	6
org.apache.ibatis.submitted.column_forwarding.ColumnForwardingTest::setUp()V	1926	4
org.apache.ibatis.submitted.parent_childs.ParentChildTest::setUp()V	1926	4
org.apache.ibatis.submitted.sptests.SPTest::testAdderAsSelect()V	822	0
org.apache.ibatis.submitted.sptests.SPTest::testAdderAsSelectDoubleCall1()V	822	0
org.apache.ibatis.submitted.sptests.SPTest::testAdderAsSelectDoubleCall2()V	822	0
org.apache.ibatis.submitted.sptests.SPTest::testAdderAsUpdate()V	822	0
org.apache.ibatis.submitted.sptests.SPTest::testAdderAsUpdateWithParameterMap()V	819	6
org.apache.ibatis.submitted.sptests.SPTest::testCallWithResultSet1()V	826	0
org.apache.ibatis.submitted.sptests.SPTest::testCallWithResultSet2()V	822	3
org.apache.ibatis.submitted.sptests.SPTest::testCallWithResultSet3()V	822	6
org.apache.ibatis.submitted.sptests.SPTest::testCallWithResultSet4()V	822	6
org.apache.ibatis.submitted.sptests.SPTest::testGetNamesWithArray()V	824	5
org.apache.ibatis.submitted.sptests.SPTest::testGetNamesAndItems()V	818	5
org.apache.ibatis.submitted.sptests.SPTest::testAdderAsSelectAnnotated()V	822	0
org.apache.ibatis.submitted.sptests.SPTest::testAdderAsSelectDoubleCallAnnotated1()V	822	0
org.apache.ibatis.submitted.sptests.SPTest::testAdderAsSelectDoubleCallAnnotated2()V	822	0
org.apache.ibatis.submitted.sptests.SPTest::testAdderAsUpdateAnnotated()V	822	0
org.apache.ibatis.submitted.sptests.SPTest::testCallWithResultSet1Annotated()V	826	0
org.apache.ibatis.submitted.sptests.SPTest::testCallWithResultSet1_a2()V	826	0
org.apache.ibatis.submitted.sptests.SPTest::testCallWithResultSet2_a1()V	822	3
org.apache.ibatis.submitted.sptests.SPTest::testCallWithResultSet2_a2()V	822	3
org.apache.ibatis.submitted.sptests.SPTest::testCallWithResultSet3_a1()V	822	6
org.apache.ibatis.submitted.sptests.SPTest::testCallWithResultSet3_a2()V	822	6
org.apache.ibatis.submitted.sptests.SPTest::testCallWithResultSet4_a1()V	822	6
org.apache.ibatis.submitted.sptests.SPTest::testCallWithResultSet4_a2()V	822	6
org.apache.ibatis.submitted.sptests.SPTest::testCallLowHighWithResultSet()V	818	1
org.apache.ibatis.submitted.sptests.SPTest::testGetNamesWithArray_a1()V	824	5
org.apache.ibatis.submitted.sptests.SPTest::testGetNamesWithArray_a2()V	824	5
org.apache.ibatis.submitted.sptests.SPTest::testGetNamesAndItems_a2()V	818	5
org.apache.ibatis.submitted.sptests.SPTest::testGetNamesAndItems_a3()V	818	5
org.apache.ibatis.submitted.sptests.SPTest::testGetNamesAndItemsLinked()V	823	7
org.apache.ibatis.submitted.sptests.SPTest::testGetNamesAndItemsLinkedWithNoMatchingInfo()V	819	3
org.apache.ibatis.submitted.sptests.SPTest::testMultipleForeignKeys()V	820	6
org.apache.ibatis.submitted.primitive_array.PrimitiveArrayTest::setUp()V	1926	4
org.apache.ibatis.submitted.simplelistparameter.SimpleListParameterTest::setUp()V	1926	4
org.apache.ibatis.submitted.optional_on_mapper_method.OptionalOnMapperMethodTest::setUp()V	1926	4
org.apache.ibatis.submitted.extends_with_constructor.NpeExtendsTest::testNoConstructorConfiguration()V	1697	0
org.apache.ibatis.submitted.extends_with_constructor.NpeExtendsTest::testWithConstructorConfiguration()V	1697	0
org.apache.ibatis.submitted.extends_with_constructor.NpeExtendsTest::testSelectWithTeacher()V	1797	1
org.apache.ibatis.submitted.extends_with_constructor.NpeExtendsTest::testSelectNoName()V	1802	1
org.apache.ibatis.submitted.resultmapwithassociationstest.ResultMapWithAssociationsTest::setUp()V	1926	4
org.apache.ibatis.submitted.refid_resolution.ExternalRefidResolutionTest::testExternalRefAfterSelectKey()V	1927	4
org.apache.ibatis.submitted.refid_resolution.RefidResolutionTest::testIncludes()V	2009	0
org.apache.ibatis.submitted.lazy_properties.LazyPropertiesTest::setUp()V	1926	4
org.apache.ibatis.submitted.cache.CacheTest::setUp()V	1926	4
org.apache.ibatis.submitted.cache.CacheTest::testplan1()V	821	2
org.apache.ibatis.submitted.cache.CacheTest::testplan2()V	821	2
org.apache.ibatis.submitted.cache.CacheTest::testplan3()V	820	2
org.apache.ibatis.submitted.typehandlerinjection.TypeHandlerInjectionTest::setUp()V	1926	5
org.apache.ibatis.submitted.autodiscover.AutodiscoverTest::testTypeAlias()V	498	0
org.apache.ibatis.submitted.autodiscover.AutodiscoverTest::testTypeHandler()V	645	1
org.apache.ibatis.submitted.autodiscover.AutodiscoverTest::testMapper()V	28	0
org.apache.ibatis.submitted.include_property.IncludePropertyTest::setUp()V	1926	4
org.apache.ibatis.submitted.include_property.IncludePropertyTest::testSimpleProperty()V	819	2
org.apache.ibatis.submitted.include_property.IncludePropertyTest::testPropertyContext()V	823	4
org.apache.ibatis.submitted.include_property.IncludePropertyTest::testNestedDynamicValue()V	819	1
org.apache.ibatis.submitted.include_property.IncludePropertyTest::testEmptyString()V	819	1
org.apache.ibatis.submitted.include_property.IncludePropertyTest::testPropertyInRefid()V	819	1
org.apache.ibatis.submitted.include_property.IncludePropertyTest::testConfigVar()V	818	1
org.apache.ibatis.submitted.include_property.IncludePropertyTest::testRuntimeVar()V	819	2
org.apache.ibatis.submitted.include_property.IncludePropertyTest::testNestedInclude()V	819	1
org.apache.ibatis.submitted.include_property.IncludePropertyTest::testParametersInAttribute()V	823	4
org.apache.ibatis.submitted.bringrags.SimpleObjectTest::setUp()V	1994	4
org.apache.ibatis.submitted.bringrags.SimpleObjectTest::tearDown()V	3	1
org.apache.ibatis.submitted.bringrags.SimpleObjectTest::testGetById()V	26	0
org.apache.ibatis.submitted.emptycollection.DaoTest::setUp()V	1929	4
org.apache.ibatis.submitted.emptycollection.DaoTest::tearDown()V	3	1
org.apache.ibatis.submitted.emptycollection.DaoTest::testWithEmptyList()V	815	3
org.apache.ibatis.submitted.emptycollection.DaoTest::testWithNonEmptyList()V	824	0
org.apache.ibatis.submitted.emptycollection.DaoTest::testWithNonEmptyList_noCollectionId()V	824	0
org.apache.ibatis.submitted.enumtypehandler_on_map.EnumTypeHandlerTest::testEnumWithParam()V	823	1
org.apache.ibatis.submitted.enumtypehandler_on_map.EnumTypeHandlerTest::testEnumWithoutParam()V	823	1
org.apache.ibatis.submitted.extendresultmap.ExtendResultMapTest::setUp()V	1926	4
org.apache.ibatis.submitted.custom_collection_handling.CustomCollectionHandlingTest::testSelectListWithNestedResultMap()V	2019	4
org.apache.ibatis.submitted.custom_collection_handling.CustomCollectionHandlingTest::testSelectListWithNestedSelect()V	2019	4
org.apache.ibatis.submitted.multipleresultsetswithassociation.MultipleResultSetTest::setUp()V	1999	20
org.apache.ibatis.submitted.parent_reference_3level.BlogTest::setUp()V	1927	4
org.apache.ibatis.submitted.parent_reference_3level.BlogTest::testSelectBlogWithPosts()V	832	6
org.apache.ibatis.submitted.parent_reference_3level.BlogTest::testSelectBlogWithoutPosts()V	830	1
org.apache.ibatis.submitted.parent_reference_3level.BlogTest::testSelectBlogWithPostsColumnPrefix()V	832	6
org.apache.ibatis.submitted.parent_reference_3level.BlogTest::testSelectBlogWithoutPostsColumnPrefix()V	830	1
org.apache.ibatis.submitted.stringlist.StringListTest::setUp()V	1926	4
org.apache.ibatis.submitted.multipleiterates.MultipleIteratesTest::setUp()V	1926	4
org.apache.ibatis.submitted.batch_test.BatchTest::setUp()V	1926	4
org.apache.ibatis.submitted.automapping.AutomappingTest::setUp()V	1926	4
org.apache.ibatis.submitted.cursor_simple.CursorSimpleTest::setUp()V	1926	4
org.apache.ibatis.submitted.cursor_simple.CursorSimpleTest::testCursorClosedOnSessionClose()V	829	3
org.apache.ibatis.submitted.cursor_simple.CursorSimpleTest::testCursorWithRowBound()V	833	5
org.apache.ibatis.submitted.cursor_simple.CursorSimpleTest::testCursorIteratorNoSuchElementExceptionWithHasNext()V	836	3
org.apache.ibatis.submitted.cursor_simple.CursorSimpleTest::testCursorIteratorNoSuchElementExceptionNoHasNext()V	836	2
org.apache.ibatis.submitted.cursor_simple.CursorSimpleTest::testCursorWithBadRowBound()V	36	1
org.apache.ibatis.submitted.cursor_simple.CursorSimpleTest::testCursorMultipleHasNextCall()V	828	4
org.apache.ibatis.submitted.cursor_simple.CursorSimpleTest::testCursorMultipleIteratorCall()V	829	2
