Test-related Method	Total # Nodes Reachable From Method	# Nodes Reachable From Mock Invocations
br.com.caelum.vraptor.VRaptorTest::setup()V	473	0
br.com.caelum.vraptor.VRaptorTest::shoudlComplainIfNotInAServletEnviroment()V	731	0
br.com.caelum.vraptor.VRaptorTest::shouldExecuteARequestUsingTheSpecifiedContainer()V	778	12
br.com.caelum.vraptor.VRaptorTest::shouldStopContainer()V	448	5
br.com.caelum.vraptor.VRaptorTest::shouldDeferToContainerIfStaticFile()V	764	2
br.com.caelum.vraptor.core.ExceptionRecorderTest::setUp()V	473	0
br.com.caelum.vraptor.core.ExceptionRecorderTest::withRootException()V	453	13
br.com.caelum.vraptor.core.ExceptionRecorderTest::withNestedException()V	453	13
br.com.caelum.vraptor.core.ExceptionRecorderTest::whenNotFoundException()V	33	2
br.com.caelum.vraptor.core.DefaultMethodInfoTest::unsetParameters()V	6	0
br.com.caelum.vraptor.core.DefaultMethodInfoTest::setParameters()V	6	1
br.com.caelum.vraptor.core.JstlLocalizationTest::setUp()V	491	0
br.com.caelum.vraptor.core.JstlLocalizationTest::keyNotFound()V	1270	0
br.com.caelum.vraptor.core.JstlLocalizationTest::keyFound()V	1270	0
br.com.caelum.vraptor.core.JstlLocalizationTest::findLocaleFromRequest()V	743	0
br.com.caelum.vraptor.core.JstlLocalizationTest::findLocaleFromSession()V	743	1
br.com.caelum.vraptor.core.JstlLocalizationTest::findLocaleFromServletContext()V	748	21
br.com.caelum.vraptor.core.JstlLocalizationTest::findLocaleFromRequestLocale()V	743	0
br.com.caelum.vraptor.core.JstlLocalizationTest::testLocaleWithSessionNotRequest()V	743	1
br.com.caelum.vraptor.core.JstlLocalizationTest::testFallbackLocale()V	743	0
br.com.caelum.vraptor.core.LazyInterceptorHandlerTest::setUp()V	496	1
br.com.caelum.vraptor.core.LazyInterceptorHandlerTest::shouldUseContainerIfInterceptorAccepts()V	467	3
br.com.caelum.vraptor.core.LazyInterceptorHandlerTest::shouldNotUseContainerIfInterceptorDoesntAccept()V	467	2
br.com.caelum.vraptor.core.LazyInterceptorHandlerTest::shouldFailIfUsingConstructorParametersOnConstructor()V	423	0
br.com.caelum.vraptor.core.LazyInterceptorHandlerTest::shouldFailIfUsingConstructorParametersOnAcceptsMethod()V	423	0
br.com.caelum.vraptor.core.DefaultInterceptorHandlerFactoryTest::setUp()V	1	0
br.com.caelum.vraptor.core.DefaultInterceptorHandlerFactoryTest::handlerForRegularInterceptorsShouldBeDynamic()V	39	0
br.com.caelum.vraptor.core.DefaultInterceptorHandlerFactoryTest::handlerForStaticInterceptorsShouldBeStatic()V	39	0
br.com.caelum.vraptor.core.DefaultInterceptorHandlerFactoryTest::staticHandlersShouldBeCached()V	39	0
br.com.caelum.vraptor.core.ToInstantiateInterceptorHandlerTest::setup()V	473	0
br.com.caelum.vraptor.core.ToInstantiateInterceptorHandlerTest::shouldComplainWhenUnableToInstantiateAnInterceptor()V	429	1
br.com.caelum.vraptor.core.ToInstantiateInterceptorHandlerTest::shouldInvokeInterceptorsMethodIfAbleToInstantiateIt()V	458	3
br.com.caelum.vraptor.core.ToInstantiateInterceptorHandlerTest::shouldNotInvokeInterceptorsMethodIfInterceptorDoesntAcceptsResource()V	460	4
br.com.caelum.vraptor.core.DefaultStaticContentHandlerTest::setup()V	473	0
br.com.caelum.vraptor.core.DefaultStaticContentHandlerTest::returnsTrueForRealStaticResources()V	769	4
br.com.caelum.vraptor.core.DefaultStaticContentHandlerTest::returnsTrueForRealStaticResourcesWithQueryString()V	769	4
br.com.caelum.vraptor.core.DefaultStaticContentHandlerTest::returnsTrueForRealStaticResourcesWithJSessionId()V	769	4
