GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Apache Commons Collections,org.apache.commons.collections4.keyvalue,TiedMapEntry,20,89,12,10,2,20,10,8,0,7
Apache Commons Collections,org.apache.commons.collections4.keyvalue,AbstractMapEntry,0,70,1,19,0,13,1,13,0,4
Apache Commons Collections,org.apache.commons.collections4.keyvalue,UnmodifiableMapEntry,0,24,0,0,0,7,0,4,0,4
Apache Commons Collections,org.apache.commons.collections4.keyvalue,AbstractKeyValue,0,44,0,0,0,17,0,6,0,6
Apache Commons Collections,org.apache.commons.collections4.keyvalue,MultiKey,0,195,0,12,0,37,0,20,0,14
Apache Commons Collections,org.apache.commons.collections4.keyvalue,DefaultMapEntry,0,19,0,0,0,6,0,3,0,3
Apache Commons Collections,org.apache.commons.collections4.keyvalue,DefaultKeyValue,3,111,5,19,1,24,5,16,0,9
Apache Commons Collections,org.apache.commons.collections4.keyvalue,AbstractMapEntryDecorator,11,36,2,2,3,11,3,7,1,7
Apache Commons Collections,org.apache.commons.collections4.splitmap,TransformedSplitMap,24,94,3,5,7,23,5,10,2,9
Apache Commons Collections,org.apache.commons.collections4.splitmap,AbstractIterableGetMapDecorator,22,61,2,2,5,18,5,13,3,13
Apache Commons Collections,org.apache.commons.collections4.collection,AbstractCollectionDecorator,8,84,0,2,3,23,2,18,2,17
Apache Commons Collections,org.apache.commons.collections4.collection,TransformedCollection,0,103,1,7,0,21,1,10,0,7
Apache Commons Collections,org.apache.commons.collections4.collection,IndexedCollection,117,125,19,11,36,31,19,13,9,8
Apache Commons Collections,org.apache.commons.collections4.collection,UnmodifiableBoundedCollection,66,42,5,9,16,13,16,5,11,3
Apache Commons Collections,org.apache.commons.collections4.collection,PredicatedCollection,0,94,0,8,0,20,0,11,0,7
Apache Commons Collections,org.apache.commons.collections4.collection,CompositeCollection,120,323,13,47,30,82,15,41,6,20
Apache Commons Collections,org.apache.commons.collections4.collection,SynchronizedCollection,193,59,10,2,39,14,20,7,15,6
Apache Commons Collections,org.apache.commons.collections4.collection,PredicatedCollection.Builder,50,138,8,10,12,36,9,14,2,12
Apache Commons Collections,org.apache.commons.collections4.collection,UnmodifiableCollection,0,49,0,2,0,14,0,11,0,10
Apache Commons Collections,org.apache.commons.collections4.comparators,TransformingComparator,72,43,16,6,9,13,12,4,2,3
