GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Flink : Core,org.apache.flink.api.dag,Transformation,302,113,26,6,73,27,39,10,26,7
Flink : Core,org.apache.flink.api.java.functions,NullByteKeySelector,6,0,0,0,2,0,2,0,2,0
Flink : Core,org.apache.flink.api.common.eventtime,TimestampAssignerSupplier,0,5,0,0,0,1,0,1,0,1
Flink : Core,org.apache.flink.api.common.eventtime,AscendingTimestampsWatermarks,0,5,0,0,0,2,0,1,0,1
Flink : Core,org.apache.flink.api.common.eventtime,WatermarkOutputMultiplexer.OutputState,1,46,1,3,0,12,1,6,0,5
Flink : Core,org.apache.flink.api.common.eventtime,WatermarksWithIdleness.IdlenessTimer,4,60,1,5,2,16,1,5,0,3
Flink : Core,org.apache.flink.api.common.eventtime,RecordTimestampAssigner,2,3,0,0,1,1,1,1,1,1
Flink : Core,org.apache.flink.api.common.eventtime,WatermarkOutputMultiplexer.DeferredOutput,0,18,0,0,0,7,0,3,0,3
Flink : Core,org.apache.flink.api.common.eventtime,TimestampAssignerSupplier.SupplierFromSerializableTimestampAssigner,0,9,0,0,0,4,0,2,0,2
Flink : Core,org.apache.flink.api.common.eventtime,WatermarkOutputMultiplexer,3,171,3,15,0,41,3,13,0,7
Flink : Core,org.apache.flink.api.common.eventtime,WatermarkStrategyWithIdleness,0,24,0,0,0,7,0,3,0,3
Flink : Core,org.apache.flink.api.common.eventtime,NoWatermarksGenerator,5,0,0,0,3,0,3,0,3,0
Flink : Core,org.apache.flink.api.common.eventtime,Watermark,56,18,8,0,5,7,9,3,5,3
Flink : Core,org.apache.flink.api.common.eventtime,WatermarkOutputMultiplexer.ImmediateOutput,0,37,0,4,0,11,0,5,0,3
Flink : Core,org.apache.flink.api.common.eventtime,WatermarkStrategy,21,51,2,2,3,11,7,6,5,6
Flink : Core,org.apache.flink.api.common.eventtime,WatermarksWithIdleness,22,37,2,4,7,9,3,4,2,2
Flink : Core,org.apache.flink.api.common.eventtime,BoundedOutOfOrdernessWatermarks,1,46,1,1,0,10,1,3,0,3
Flink : Core,org.apache.flink.api.common.eventtime,WatermarkStrategyWithTimestampAssigner,5,14,0,0,1,5,1,2,1,2
Flink : Core,org.apache.flink.api.common.eventtime,IngestionTimeAssigner,13,0,0,0,4,0,2,0,2,0
Flink : Core,org.apache.flink.api.common.typeinfo,IntegerTypeInfo,0,47,0,0,0,7,0,2,0,2
Flink : Core,org.apache.flink.api.common.typeinfo,Types,154,87,23,3,39,27,25,4,13,3
Flink : Core,org.apache.flink.api.common.typeinfo,BasicArrayTypeInfo,13,216,3,9,4,44,6,16,3,13
Flink : Core,org.apache.flink.api.common.typeinfo,TypeHint,1,51,3,3,0,11,3,5,0,5
Flink : Core,org.apache.flink.api.common.typeinfo,TypeInfoFactory,0,3,0,0,0,1,0,1,0,1
Flink : Core,org.apache.flink.api.common.typeinfo,BasicTypeInfo,65,456,9,9,12,67,10,16,3,14
Flink : Core,org.apache.flink.api.common.typeinfo,SqlTimeTypeInfo,58,116,3,13,14,24,12,12,9,7
Flink : Core,org.apache.flink.api.common.typeinfo,NothingTypeInfo,19,23,0,2,7,8,7,6,7,5
Flink : Core,org.apache.flink.api.common.typeinfo,NumericTypeInfo,0,55,0,0,0,7,0,2,0,2
Flink : Core,org.apache.flink.api.common.typeinfo,LocalTimeTypeInfo,78,96,9,7,22,16,16,8,10,6
Flink : Core,org.apache.flink.api.common.typeinfo,FractionalTypeInfo,0,35,0,0,0,7,0,2,0,2
Flink : Core,org.apache.flink.api.common.typeinfo,TypeInformation,3,17,0,0,1,6,1,4,1,4
