GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Maven Core,org.apache.maven.toolchain,RequirementMatcherFactory.VersionMatcher,5,34,0,4,3,8,0,5,0,3
Maven Core,org.apache.maven.toolchain,MisconfiguredToolchainException,9,0,0,0,4,0,2,0,2,0
Maven Core,org.apache.maven.toolchain,RequirementMatcherFactory.ExactMatcher,0,14,0,0,0,5,0,3,0,3
Maven Core,org.apache.maven.toolchain,DefaultToolchainManagerPrivate,13,70,0,8,3,14,1,6,1,2
Maven Core,org.apache.maven.toolchain,DefaultToolchain,37,188,10,14,10,42,9,13,1,9
Maven Core,org.apache.maven.toolchain,DefaultToolchainManager,77,72,10,10,19,15,8,8,3,3
Maven Core,org.apache.maven.toolchain,ToolchainManager,4,0,0,0,1,0,1,0,1,0
Maven Core,org.apache.maven.toolchain,RequirementMatcherFactory,0,12,0,0,0,2,0,2,0,2
Maven Core,org.apache.maven.toolchain,DefaultToolchainsBuilder,52,0,6,0,12,0,5,0,2,0
Maven Core,org.apache.maven.lifecycle.mapping,Lifecycle,39,48,6,2,10,13,4,7,1,6
Maven Core,org.apache.maven.lifecycle.mapping,LifecyclePhase,36,97,6,10,9,27,4,11,1,6
Maven Core,org.apache.maven.lifecycle.mapping,LifecycleMapping,4,0,0,0,1,0,1,0,1,0
Maven Core,org.apache.maven.lifecycle.mapping,DefaultLifecycleMapping,82,40,9,5,17,10,8,5,3,3
Maven Core,org.apache.maven.lifecycle.mapping,LifecycleMojo,8,16,0,0,4,6,2,5,2,5
Maven Core,org.apache.maven.artifact.repository.metadata,ArtifactRepositoryMetadata,104,0,16,0,24,0,21,0,13,0
Maven Core,org.apache.maven.artifact.repository.metadata,RepositoryMetadataDeploymentException,9,0,0,0,4,0,2,0,2,0
Maven Core,org.apache.maven.artifact.repository.metadata,RepositoryMetadataResolutionException,9,0,0,0,4,0,2,0,2,0
Maven Core,org.apache.maven.artifact.repository.metadata,AbstractRepositoryMetadata,272,0,22,0,73,0,26,0,15,0
Maven Core,org.apache.maven.artifact.repository.metadata,RepositoryMetadataInstallationException,9,0,0,0,4,0,2,0,2,0
Maven Core,org.apache.maven.internal.aether,DefaultRepositorySystemSessionFactory,231,300,19,11,38,57,15,4,0,4
Maven Core,org.apache.maven.internal.aether,LoggingRepositoryListener,201,6,16,0,38,3,14,1,6,1
Maven Core,org.apache.maven.bridge,MavenRepositorySystem,903,429,149,45,201,107,112,32,21,26
Maven Core,org.apache.maven.artifact,InvalidRepositoryException,34,0,0,0,13,0,5,0,5,0
Maven Core,org.apache.maven.artifact,DependencyResolutionRequiredException,13,0,0,0,2,0,1,0,1,0
Maven Core,org.apache.maven.plugin.prefix,DefaultPluginPrefixRequest,12,89,2,4,3,29,3,12,1,11
Maven Core,org.apache.maven.plugin.prefix,NoPluginFoundForPrefixException,97,0,10,0,14,0,7,0,2,0
Maven Core,org.apache.maven.rtinfo.internal,DefaultRuntimeInformation,57,102,4,8,9,25,3,6,0,3
Maven Core,org.apache.maven.project,DefaultProjectBuilder,311,1558,49,119,52,343,43,63,0,22
Maven Core,org.apache.maven.project,ProjectBuildingRequest.RepositoryMerging,0,24,0,0,0,3,0,1,0,1
Maven Core,org.apache.maven.project,DefaultProjectBuilder.InterimResult,0,21,0,0,0,8,0,1,0,1
Maven Core,org.apache.maven.project,DefaultDependencyResolutionRequest,3,35,0,0,2,13,1,7,1,7
Maven Core,org.apache.maven.project,DefaultProjectRealmCache.CacheKey,42,0,6,0,14,0,7,0,4,0
Maven Core,org.apache.maven.project,DuplicateProjectException,30,13,0,0,10,5,5,1,5,1
Maven Core,org.apache.maven.project,ProjectModelResolver,52,438,5,25,10,97,6,18,1,8
Maven Core,org.apache.maven.project,ProjectBuildingException,39,119,3,5,12,30,7,7,5,5
Maven Core,org.apache.maven.project,DefaultProjectDependenciesResolver,106,322,15,33,20,70,13,14,0,3
Maven Core,org.apache.maven.project,DuplicateArtifactAttachmentException,35,0,0,0,7,0,4,0,4,0
Maven Core,org.apache.maven.project,DependencyResolutionException,0,11,0,0,0,4,0,2,0,2
Maven Core,org.apache.maven.project,MavenProject,1041,1241,176,102,254,336,186,129,66,110
Maven Core,org.apache.maven.project,DefaultProjectBuildingHelper,272,164,38,18,54,39,25,8,1,4
Maven Core,org.apache.maven.project,ProjectSorter,42,419,15,43,10,81,14,27,4,8
Maven Core,org.apache.maven.project,MavenProjectHelper,4,0,0,0,1,0,1,0,1,0
Maven Core,org.apache.maven.project,DefaultMavenProjectHelper,127,0,4,0,40,0,9,0,7,0
Maven Core,org.apache.maven.project,DefaultProjectBuilder.InternalConfig,0,29,0,0,0,9,0,1,0,1
Maven Core,org.apache.maven.project,DefaultDependencyResolutionResult,37,63,4,0,12,16,8,5,6,5
Maven Core,org.apache.maven.project,ReactorModelCache.CacheKey,9,103,10,10,2,18,10,3,0,3
Maven Core,org.apache.maven.project,ProjectRealmCache.CacheRecord,0,15,0,0,0,6,0,3,0,3
Maven Core,org.apache.maven.project,ExtensionDescriptor,0,51,0,8,0,16,0,9,0,5
