GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
vraptor,br.com.caelum.vraptor.interceptor,ExceptionHandlerInterceptor,50,15,6,0,15,6,6,3,3,3
vraptor,br.com.caelum.vraptor.interceptor,ResourceLookupInterceptor,36,24,0,0,10,9,1,3,1,3
vraptor,br.com.caelum.vraptor.interceptor,ForwardToDefaultViewInterceptor,18,12,2,0,6,5,2,3,1,3
vraptor,br.com.caelum.vraptor.interceptor,ParametersInstantiatorInterceptor,184,42,18,2,33,12,13,4,4,3
vraptor,br.com.caelum.vraptor.interceptor,FlashInterceptor,45,18,4,0,9,7,3,3,1,3
vraptor,br.com.caelum.vraptor.interceptor,TopologicalSortedInterceptorRegistry,0,89,1,7,0,17,1,8,0,5
vraptor,br.com.caelum.vraptor.interceptor,OutjectResult,57,0,2,0,15,0,5,0,4,0
vraptor,br.com.caelum.vraptor.interceptor,Graph,1,244,3,21,0,54,3,21,0,12
vraptor,br.com.caelum.vraptor.interceptor,ExecuteMethodInterceptor,91,15,8,0,26,6,5,3,1,3
vraptor,br.com.caelum.vraptor.interceptor,DeserializingInterceptor,133,26,14,0,30,9,10,3,3,3
vraptor,br.com.caelum.vraptor.interceptor,FlashInterceptor.new MutableResponse.RedirectListener() {...},26,0,2,0,8,0,3,0,2,0
vraptor,br.com.caelum.vraptor.interceptor,DefaultInterceptorRegistry,0,18,0,0,0,5,0,3,0,3
vraptor,br.com.caelum.vraptor.interceptor,ApplicationLogicException,13,0,0,0,6,0,3,0,3,0
vraptor,br.com.caelum.vraptor.interceptor,InstantiateInterceptor,16,8,2,0,5,4,2,2,1,2
vraptor,br.com.caelum.vraptor.interceptor,DefaultTypeNameExtractor,0,101,0,12,0,20,0,12,0,6
vraptor,br.com.caelum.vraptor.serialization,IgnoringSerializer,13,3,0,0,7,1,7,1,7,1
vraptor,br.com.caelum.vraptor.serialization,I18nMessageSerialization,0,39,0,0,0,11,0,3,0,3
vraptor,br.com.caelum.vraptor.serialization,HibernateProxyInitializer,21,15,5,1,4,3,5,3,2,3
vraptor,br.com.caelum.vraptor.serialization,PackageComparator,2,73,2,12,1,20,2,9,0,4
vraptor,br.com.caelum.vraptor.serialization,DefaultRepresentationResult,79,15,10,0,18,6,8,1,3,1
vraptor,br.com.caelum.vraptor.serialization,HTMLSerialization,4,45,0,0,1,10,1,3,1,3
vraptor,br.com.caelum.vraptor.serialization,DefaultXMLConfiguration,0,53,0,6,0,12,0,5,0,2
vraptor,br.com.caelum.vraptor.serialization,NullProxyInitializer,1,8,0,0,1,3,1,3,1,3
vraptor,br.com.caelum.vraptor.ioc.guice,ScopeLifecycleListener,0,78,0,10,0,18,0,9,0,4
vraptor,br.com.caelum.vraptor.ioc.guice,GuiceProvider,10,145,1,7,4,32,3,11,2,8
vraptor,br.com.caelum.vraptor.ioc.guice,SessionCustomScope,67,14,4,0,19,5,9,3,7,3
vraptor,br.com.caelum.vraptor.ioc.guice,ScopeLifecycleListener.LifecycleExecutor.new LifecycleListener() {...},0,34,0,2,0,5,0,3,0,2
vraptor,br.com.caelum.vraptor.ioc.guice,VRaptorAbstractModule,13,208,1,5,2,39,1,7,0,5
vraptor,br.com.caelum.vraptor.ioc.guice,GuiceComponentRegistry,45,355,6,30,4,65,6,23,0,11
vraptor,br.com.caelum.vraptor.ioc.guice,AbstractScope.ScopedProvider,21,64,2,6,2,16,3,5,1,3
vraptor,br.com.caelum.vraptor.ioc.guice,ScopeLifecycleListener.LifecycleExecutor,0,44,0,2,0,9,0,3,0,2
