Test-related Method	Total # Nodes Reachable From Method	# Nodes Reachable From Mock Invocations
io.bootique.BootiqueIT::testExec()V	856	0
io.bootique.BootiqueIT::testExec_Failure()V	963	0
io.bootique.BootiqueIT::testExec_Exception()V	969	0
io.bootique.BootiqueIT::testAutoLoadedProviders()V	823	0
io.bootique.BootiqueIT::testCreateInjector()V	902	0
io.bootique.BootiqueIT::testApp_Collection()V	936	0
io.bootique.RuntimeModuleMergerTest::testGetModules_Empty()V	69	0
io.bootique.RuntimeModuleMergerTest::testGetModules_One()V	856	0
io.bootique.RuntimeModuleMergerTest::testGetModules_Two()V	856	0
io.bootique.RuntimeModuleMergerTest::testGetModules_Three_Dupes()V	856	0
io.bootique.RuntimeModuleMergerTest::testGetModules_Overrides()V	910	0
io.bootique.RuntimeModuleMergerTest::testGetModules_Overrides_Chain()V	915	0
io.bootique.RuntimeModuleMergerTest::testGetModules_OverrideCycle()V	876	0
io.bootique.RuntimeModuleMergerTest::testGetModules_OverrideIndirectCycle()V	876	0
io.bootique.RuntimeModuleMergerTest::testGetModules_OverrideDupe()V	524	0
io.bootique.BootiqueTest::testCreateInjector_Modules_Instances()V	907	0
io.bootique.BootiqueTest::testCreateInjector_Modules_Types()V	907	0
io.bootique.Bootique_DeclareVarsIT::testInHelp()V	614	0
io.bootique.Bootique_DeclareVarsIT::testInHelpDescription()V	614	0
io.bootique.Bootique_DeclareVarsIT::testInHelpWithMap()V	614	0
io.bootique.Bootique_DeclareVarsIT::testInHelpWithList()V	614	0
io.bootique.names.ClassToNameTest::testStripSuffux()V	832	0
io.bootique.names.ClassToNameTest::testLowerCase()V	830	0
io.bootique.names.ClassToNameTest::testPreserveCase()V	828	0
io.bootique.names.ClassToNameTest::testSeparator()V	830	0
io.bootique.names.ClassToNameTest::testSeparatorAbbrevs()V	830	0
io.bootique.shutdown.DefaultShutdownManagerIT::testShutdown()V	477	2
io.bootique.shutdown.DefaultShutdownManagerIT::testShutdown_Unresponsive_Timeout()V	494	2
io.bootique.shutdown.DefaultShutdownManagerTest::testShutdownAll_Empty()V	9	0
io.bootique.shutdown.DefaultShutdownManagerTest::testShutdownOne()V	466	1
io.bootique.shutdown.DefaultShutdownManagerTest::testShutdownAll()V	470	2
io.bootique.BQCoreModuleExtenderTest::testSetProperties()V	819	0
io.bootique.BQCoreModuleExtenderTest::testSetOptions()V	829	0
io.bootique.config.jackson.JsonConfigurationFactoryIT::test_NoConfig()V	912	0
io.bootique.config.jackson.JsonConfigurationFactoryIT::test_Yaml()V	912	0
io.bootique.config.jackson.JsonConfigurationFactoryIT::test_Json()V	912	0
io.bootique.config.jackson.JsonConfigurationFactoryIT::test_JsonYaml()V	912	0
io.bootique.config.jackson.JsonConfigurationFactoryIT::test_YamlProps()V	914	0
io.bootique.config.jackson.JsonConfigurationFactoryIT::test_YamlNestedProps()V	914	0
io.bootique.config.jackson.path.PathSegmentTest::testLastPathComponent_Value()V	838	0
io.bootique.config.jackson.path.PathSegmentTest::testLastPathComponent_Value_PastEnd()V	816	0
io.bootique.config.jackson.path.PathSegmentTest::testLastPathComponent_Root()V	839	0
io.bootique.config.jackson.path.PathSegmentTest::testLastPathComponent_Object_NullValue()V	61	0
io.bootique.config.jackson.path.PathSegmentTest::testLastPathComponent_Object()V	838	0
